1 0 0
****************************************************************************************************************
* G4Track Information:   Particle = geantino,   Track ID = 1,   Parent ID = 0
****************************************************************************************************************

Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
    0        0        0     -150         1        0        0         0         LXe initStep
    1      154        0     -150         1        0      154       154 TeflonPanel Transportation
    2      160        0     -150         1        0      6.4       160 ResistorChain Transportation
    3      162        0     -150         1        0     1.63       162         LXe Transportation
    4      200        0     -150         1        0     38.3       200 TeflonSideVetoLining Transportation
    5      203        0     -150         1        0     3.18       203 CryostatVesselInnerWall Transportation
    6      205        0     -150         1        0      1.5       205 VacuumCryostatVessel Transportation
    7      229        0     -150         1        0     23.9       229 CryostatVesselOuterWall Transportation
    8      230        0     -150         1        0      1.5       230 ShieldCavity Transportation
    9      400        0     -150         1        0      170       400 ShieldCopper Transportation
   10      450        0     -150         1        0       50       450 ShieldPolyethylene Transportation
   11      650        0     -150         1        0      200       650 ShieldInnerLead Transportation
   12      653        0     -150         1        0        3       653 ShieldFrenchLead Transportation
   13      700        0     -150         1        0       47       700 ShieldPolishLead Transportation
   14      850        0     -150         1        0      150       850         Lab Transportation
   15    2e+03        0     -150         1        0 1.15e+03     2e+03  OutOfWorld Transportation
****************************************************************************************************************

-1 0 0
****************************************************************************************************************
* G4Track Information:   Particle = geantino,   Track ID = 1,   Parent ID = 0
****************************************************************************************************************

Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
    0        0        0     -150         1        0        0         0         LXe initStep
    1     -154        0     -150         1        0      154       154 TeflonPanel Transportation
    2     -160        0     -150         1        0      6.4       160         LXe Transportation
    3     -200        0     -150         1        0     39.9       200 TeflonSideVetoLining Transportation
    4     -203        0     -150         1        0     3.18       203 CryostatVesselInnerWall Transportation
    5     -205        0     -150         1        0      1.5       205 VacuumCryostatVessel Transportation
    6     -229        0     -150         1        0     23.9       229 CryostatVesselOuterWall Transportation
    7     -230        0     -150         1        0      1.5       230 ShieldCavity Transportation
    8     -400        0     -150         1        0      170       400 ShieldCopper Transportation
    9     -450        0     -150         1        0       50       450 ShieldPolyethylene Transportation
   10     -650        0     -150         1        0      200       650 ShieldInnerLead Transportation
   11     -653        0     -150         1        0        3       653 ShieldFrenchLead Transportation
   12     -700        0     -150         1        0       47       700 ShieldPolishLead Transportation
   13     -850        0     -150         1        0      150       850         Lab Transportation
   14   -2e+03        0     -150         1        0 1.15e+03     2e+03  OutOfWorld Transportation
****************************************************************************************************************

0 1 0
****************************************************************************************************************
