unit: MeV
spectrum:
0.05 2.49936e-10
0.15 5.50268e-10
0.25 7.2393e-10
0.35 7.47085e-10
0.45 7.28697e-10
0.55 7.08947e-10
0.65 6.48472e-10
0.75 6.2416e-10
0.85 6.67609e-10
0.95 6.37576e-10
1.05 5.07772e-10
1.15 3.59309e-10
1.25 2.2072e-10
1.35 2.18677e-10
1.45 2.20175e-10
1.55 2.1248e-10
1.65 1.96884e-10
1.75 1.67192e-10
1.85 1.36477e-10
1.95 1.07398e-10
2.05 7.68877e-11
2.15 5.05048e-11
2.25 3.16813e-11
2.35 1.77135e-11
2.45 1.01132e-11
2.55 4.50566e-12
2.65 1.38589e-12
2.75 4.45595e-14
2.85 3.57198e-14
2.95 2.8569e-14
3.05 2.18337e-14
3.15 1.59973e-14
3.25 1.19997e-14
3.35 9.02358e-15
3.45 7.23249e-15
3.55 5.85341e-15
3.65 4.93335e-15
3.75 4.28433e-15
3.85 3.89342e-15
3.95 3.53384e-15
4.05 3.2049e-15
4.15 2.90457e-15
4.25 2.62944e-15
4.35 2.37882e-15
4.45 2.15068e-15
4.55 1.94228e-15
4.65 1.75364e-15
4.75 1.58134e-15
4.85 1.42539e-15
4.95 1.28373e-15
5.05 1.1557e-15
5.15 1.03993e-15
5.25 9.35048e-16
5.35 8.39704e-16
5.45 7.54576e-16
5.55 6.77143e-16
5.65 6.07406e-16
5.75 5.44548e-16
5.85 4.87954e-16
5.95 4.37082e-16
6.05 3.91317e-16
6.15 3.50115e-16
6.25 3.13135e-16
6.35 2.79901e-16
6.45 2.50141e-16
6.55 2.23444e-16
6.65 1.99472e-16
6.75 1.7802e-16
6.85 1.58815e-16
6.95 1.41653e-16
7.05 1.26262e-16
7.15 1.12505e-16
7.25 1.00179e-16
7.35 8.92143e-17
7.45 7.94075e-17
7.55 7.06904e-17
7.65 6.28314e-17
7.75 5.58985e-17
7.85 4.96672e-17
7.95 4.4144e-17
8.05 3.92066e-17
8.15 3.48276e-17
8.25 3.09117e-17
8.35 2.74317e-17
8.45 2.43535e-17
8.55 2.15885e-17
8.65 1.91504e-17
8.75 1.6978e-17
8.85 1.50234e-17
8.95 1.33277e-17
9.05 1.1809e-17
9.15 1.04537e-17
9.25 9.26875e-18
9.35 8.17911e-18
9.45 7.25973e-18
9.55 6.39687e-18
9.65 5.68792e-18
9.75 5.01711e-18
9.85 4.42053e-18
9.95 3.91589e-18
