unit: MeV
spectrum:
0.05 3.00582e-09
0.15 5.09967e-09
0.25 6.33736e-09
0.35 7.15318e-09
0.45 7.68672e-09
0.55 7.9721e-09
0.65 8.09618e-09
0.75 8.09773e-09
0.85 7.98917e-09
0.95 7.78288e-09
1.05 7.53007e-09
1.15 7.25865e-09
1.25 6.97016e-09
1.35 6.67237e-09
1.45 6.36683e-09
1.55 6.06128e-09
1.65 5.75418e-09
1.75 5.45329e-09
1.85 5.1524e-09
1.95 4.85461e-09
2.05 4.56302e-09
2.15 4.28074e-09
2.25 4.00621e-09
2.35 3.74255e-09
2.45 3.48973e-09
2.55 3.24778e-09
2.65 3.01823e-09
2.75 2.80109e-09
2.85 2.59636e-09
2.95 2.40249e-09
3.05 2.21947e-09
3.15 2.04886e-09
3.25 1.88911e-09
3.35 1.74021e-09
3.45 1.60062e-09
3.55 1.47065e-09
3.65 1.35029e-09
3.75 1.23847e-09
3.85 1.13502e-09
3.95 1.03917e-09
4.05 9.50759e-10
4.15 8.69021e-10
4.25 7.93798e-10
4.35 7.24624e-10
4.45 6.60878e-10
4.55 6.02406e-10
4.65 5.48586e-10
4.75 4.9942e-10
4.85 4.54286e-10
4.95 4.13029e-10
5.05 3.75185e-10
5.15 3.40753e-10
5.25 3.09268e-10
5.35 2.8042e-10
5.45 2.54208e-10
5.55 2.30478e-10
5.65 2.08609e-10
5.75 1.88911e-10
5.85 1.70919e-10
5.95 1.54556e-10
6.05 1.39729e-10
6.15 1.26251e-10
6.25 1.14014e-10
6.35 1.02939e-10
6.45 9.29045e-11
6.55 8.38002e-11
6.65 7.55644e-11
6.75 6.81196e-11
6.85 6.13728e-11
6.95 5.52774e-11
7.05 4.97714e-11
7.15 4.47927e-11
7.25 4.03103e-11
7.35 3.62622e-11
7.45 3.26019e-11
7.55 2.93138e-11
7.65 2.63359e-11
7.75 2.36526e-11
7.85 2.12486e-11
7.95 1.90772e-11
8.05 1.7123e-11
8.15 1.53579e-11
8.25 1.37837e-11
8.35 1.23552e-11
8.45 1.10803e-11
8.55 9.93101e-12
8.65 8.8996e-12
8.75 7.969e-12
8.85 7.14077e-12
8.95 6.39319e-12
9.05 5.72006e-12
9.15 5.12293e-12
9.25 4.58008e-12
9.35 4.10393e-12
9.45 3.66189e-12
9.55 3.2788e-12
9.65 2.92983e-12
9.75 2.61808e-12
9.85 2.34045e-12
9.95 2.09384e-12
