unit: MeV
spectrum:
0.05 1.02908e-11
0.15 1.94439e-11
0.25 2.65965e-11
0.35 3.28337e-11
0.45 3.35398e-11
0.55 3.27683e-11
0.65 3.14476e-11
0.75 3.11338e-11
0.85 3.35659e-11
0.95 3.74626e-11
1.05 4.14638e-11
1.15 4.40398e-11
1.25 4.29806e-11
1.35 4.07577e-11
1.45 3.86132e-11
1.55 3.59588e-11
1.65 3.42851e-11
1.75 3.33698e-11
1.85 3.22191e-11
1.95 3.06892e-11
2.05 2.87148e-11
2.15 2.7198e-11
2.25 2.60211e-11
2.35 2.47658e-11
2.45 2.26345e-11
2.55 2.02808e-11
2.65 1.83978e-11
2.75 1.63318e-11
2.85 1.35205e-11
2.95 1.08321e-11
3.05 8.66935e-12
3.15 7.45198e-12
3.25 6.30914e-12
3.35 5.0447e-12
3.45 4.14115e-12
3.55 3.82471e-12
3.65 3.65342e-12
3.75 3.45074e-12
3.85 3.20361e-12
3.95 2.94601e-12
4.05 2.75902e-12
4.15 2.50666e-12
4.25 2.23206e-12
4.35 1.94831e-12
4.45 1.66064e-12
4.55 1.40697e-12
4.65 1.22561e-12
4.75 1.04608e-12
4.85 8.65758e-13
4.95 7.03747e-13
5.05 6.6295e-13
5.15 6.4739e-13
5.25 6.28299e-13
5.35 6.08031e-13
5.45 5.87894e-13
5.55 5.62004e-13
5.65 5.37552e-13
5.75 5.16761e-13
5.85 5.00155e-13
5.95 4.91525e-13
6.05 4.89302e-13
6.15 4.88648e-13
6.25 4.86817e-13
6.35 4.78972e-13
6.45 4.62365e-13
6.55 4.38959e-13
6.65 4.11238e-13
6.75 3.83125e-13
6.85 3.5475e-13
6.95 3.26245e-13
7.05 2.9787e-13
7.15 2.69626e-13
7.25 2.41905e-13
7.35 2.15099e-13
7.45 1.91563e-13
7.55 1.72995e-13
7.65 1.55211e-13
7.75 1.40436e-13
7.85 1.26405e-13
7.95 1.12728e-13
8.05 1.00096e-13
8.15 8.84849e-14
8.25 7.8338e-14
8.35 7.12769e-14
8.45 6.48697e-14
8.55 5.7848e-14
8.65 5.03293e-14
8.75 4.54912e-14
8.85 4.19084e-14
8.95 3.85217e-14
9.05 3.52658e-14
9.15 3.21407e-14
9.25 2.91593e-14
9.35 2.63219e-14
9.45 2.36151e-14
9.55 2.1e-14
9.65 1.84894e-14
9.75 1.60965e-14
9.85 1.37951e-14
9.95 1.16023e-14
