unit: MeV
spectrum:
0.05 1.3614e-11
0.15 2.38524e-11
0.25 2.93979e-11
0.35 3.29973e-11
0.45 3.53567e-11
0.55 3.6812e-11
0.65 3.75783e-11
0.75 3.78022e-11
0.85 3.76042e-11
0.95 3.70531e-11
1.05 3.62436e-11
1.15 3.52189e-11
1.25 3.40306e-11
1.35 3.27217e-11
1.45 3.13354e-11
1.55 2.98801e-11
1.65 2.84076e-11
1.75 2.69179e-11
1.85 2.54282e-11
1.95 2.39644e-11
2.05 2.25263e-11
2.15 2.11227e-11
2.25 1.97708e-11
2.35 1.84706e-11
2.45 1.7222e-11
2.55 1.60337e-11
2.65 1.4897e-11
2.75 1.38292e-11
2.85 1.28131e-11
2.95 1.18573e-11
3.05 1.09532e-11
3.15 1.01093e-11
3.25 9.3257e-12
3.35 8.58601e-12
3.45 7.89886e-12
3.55 7.25906e-12
3.65 6.66404e-12
3.75 6.11294e-12
3.85 5.60145e-12
3.95 5.12956e-12
4.05 4.69213e-12
4.15 4.28913e-12
4.25 3.918e-12
4.35 3.57614e-12
4.45 3.26184e-12
4.55 2.97337e-12
4.65 2.70815e-12
4.75 2.46446e-12
4.85 2.2423e-12
4.95 2.03822e-12
5.05 1.85222e-12
5.15 1.68173e-12
5.25 1.52587e-12
5.35 1.38465e-12
5.45 1.25548e-12
5.55 1.13751e-12
5.65 1.02987e-12
5.75 9.3257e-13
5.85 8.43532e-13
5.95 7.62847e-13
6.05 6.89654e-13
6.15 6.23091e-13
6.25 5.62728e-13
6.35 5.08048e-13
6.45 4.58535e-13
6.55 4.13586e-13
6.65 3.72942e-13
6.75 3.36173e-13
6.85 3.02934e-13
6.95 2.72882e-13
7.05 2.45671e-13
7.15 2.2113e-13
7.25 1.99e-13
7.35 1.78936e-13
7.45 1.60939e-13
7.55 1.44665e-13
7.65 1.30026e-13
7.75 1.16765e-13
7.85 1.04882e-13
7.95 9.41181e-14
8.05 8.45082e-14
8.15 7.58025e-14
8.25 6.80354e-14
8.35 6.0983e-14
8.45 5.46884e-14
8.55 4.90137e-14
8.65 4.39246e-14
8.75 3.93264e-14
8.85 3.52448e-14
8.95 3.15506e-14
9.05 2.82354e-14
9.15 2.52905e-14
9.25 2.26038e-14
9.35 2.0253e-14
9.45 1.80745e-14
9.55 1.61887e-14
9.65 1.44665e-14
9.75 1.29251e-14
9.85 1.15473e-14
9.95 1.03332e-14
