unit: MeV
spectrum:
0.05 4.52959e-10
0.15 6.94886e-10
0.25 7.70228e-10
0.35 8.43403e-10
0.45 8.91824e-10
0.55 8.65445e-10
0.65 8.38163e-10
0.75 8.01486e-10
0.85 7.66434e-10
0.95 7.34274e-10
1.05 6.94524e-10
1.15 6.44115e-10
1.25 5.9461e-10
1.35 5.47092e-10
1.45 4.95056e-10
1.55 4.43021e-10
1.65 3.87011e-10
1.75 3.30459e-10
1.85 3.04442e-10
1.95 2.79508e-10
2.05 2.60898e-10
2.15 2.44818e-10
2.25 2.29099e-10
2.35 2.1338e-10
2.45 1.98023e-10
2.55 1.83207e-10
2.65 1.68066e-10
2.75 1.54208e-10
2.85 1.42717e-10
2.95 1.33195e-10
3.05 1.28046e-10
3.15 1.26384e-10
3.25 1.27468e-10
3.35 1.31244e-10
3.45 1.37496e-10
3.55 1.46186e-10
3.65 1.57189e-10
3.75 1.68861e-10
3.85 1.74426e-10
3.95 1.74787e-10
4.05 1.74914e-10
4.15 1.83207e-10
4.25 2.00191e-10
4.35 2.21149e-10
4.45 2.42108e-10
4.55 2.62524e-10
4.65 2.80592e-10
4.75 2.95769e-10
4.85 3.0661e-10
4.95 3.13114e-10
5.05 3.17089e-10
5.15 3.18535e-10
5.25 3.16005e-10
5.35 3.11307e-10
5.45 3.06429e-10
5.55 2.97576e-10
5.65 2.88e-10
5.75 2.8005e-10
5.85 2.74811e-10
5.95 2.721e-10
6.05 2.72462e-10
6.15 2.73365e-10
6.25 2.71739e-10
6.35 2.66861e-10
6.45 2.58911e-10
6.55 2.46806e-10
6.65 2.3199e-10
6.75 2.17174e-10
6.85 2.01997e-10
6.95 1.86821e-10
7.05 1.71589e-10
7.15 1.56593e-10
7.25 1.42591e-10
7.35 1.28841e-10
7.45 1.16483e-10
7.55 1.05389e-10
7.65 9.46931e-11
7.75 8.59483e-11
7.85 7.77094e-11
7.95 6.96873e-11
8.05 6.23157e-11
8.15 5.55945e-11
8.25 4.98128e-11
8.35 4.56211e-11
8.45 4.15558e-11
8.55 3.7075e-11
8.65 3.22871e-11
8.75 2.91975e-11
8.85 2.69029e-11
8.95 2.47348e-11
9.05 2.2657e-11
9.15 2.06695e-11
9.25 1.87543e-11
9.35 1.69439e-11
9.45 1.52058e-11
9.55 1.35346e-11
9.65 1.19265e-11
9.75 1.0389e-11
9.85 8.91644e-12
9.95 7.49812e-12
