unit: MeV
spectrum:
0.05 1.03721e-09
0.15 1.47817e-09
0.25 1.53804e-09
0.35 1.53929e-09
0.45 1.50561e-09
0.55 1.48815e-09
0.65 1.51559e-09
0.75 1.52931e-09
0.85 1.53056e-09
0.95 1.51933e-09
1.05 1.49189e-09
1.15 1.43202e-09
1.25 1.36216e-09
1.35 1.29605e-09
1.45 1.22956e-09
1.55 1.15971e-09
1.65 1.09098e-09
1.75 1.02511e-09
1.85 9.58502e-10
1.95 8.94635e-10
2.05 8.35758e-10
2.15 7.77255e-10
2.25 7.19251e-10
2.35 6.62494e-10
2.45 6.0686e-10
2.55 5.53846e-10
2.65 5.02702e-10
2.75 4.55925e-10
2.85 4.15384e-10
2.95 3.93679e-10
3.05 3.81954e-10
3.15 3.77713e-10
3.25 3.81205e-10
3.35 3.92931e-10
3.45 4.12889e-10
3.55 4.40706e-10
3.65 4.75259e-10
3.75 5.12557e-10
3.85 5.35758e-10
3.95 5.36507e-10
4.05 5.29521e-10
4.15 5.42744e-10
4.25 5.78669e-10
4.35 6.20457e-10
4.45 6.42162e-10
4.55 6.56257e-10
4.65 6.66985e-10
4.75 6.74344e-10
4.85 6.72598e-10
4.95 6.6686e-10
5.05 6.56507e-10
5.15 6.37421e-10
5.25 6.15717e-10
5.35 5.9239e-10
5.45 5.6869e-10
5.55 5.42868e-10
5.65 5.16174e-10
5.75 4.94095e-10
5.85 4.77754e-10
5.95 4.66278e-10
6.05 4.58419e-10
6.15 4.52557e-10
6.25 4.39833e-10
6.35 4.20623e-10
6.45 3.93929e-10
6.55 3.59625e-10
6.65 3.22203e-10
6.75 2.87526e-10
6.85 2.61455e-10
6.95 2.40374e-10
7.05 2.19418e-10
7.15 1.9896e-10
7.25 1.8e-10
7.35 1.61289e-10
7.45 1.43077e-10
7.55 1.29106e-10
7.65 1.16532e-10
7.75 1.0427e-10
7.85 9.23824e-11
7.95 8.15425e-11
8.05 7.48565e-11
8.15 6.89937e-11
8.25 6.32931e-11
8.35 5.78669e-11
8.45 5.25904e-11
8.55 4.68898e-11
8.65 4.08648e-11
8.75 3.50894e-11
8.85 2.97505e-11
8.95 2.4711e-11
9.05 1.98586e-11
9.15 1.52183e-11
9.25 1.0805e-11
9.35 6.82702e-12
9.45 3.13097e-12
9.55 5.35259e-13
9.65 3.77837e-13
9.75 3.37546e-13
9.85 3.01746e-13
9.95 2.69937e-13
