unit: MeV
spectrum:
0.05 1.99596e-11
0.15 4.39438e-11
0.25 5.78122e-11
0.35 5.96613e-11
0.45 5.81929e-11
0.55 5.66157e-11
0.65 5.17862e-11
0.75 4.98447e-11
0.85 5.33145e-11
0.95 5.09161e-11
1.05 4.05501e-11
1.15 2.8694e-11
1.25 1.76265e-11
1.35 1.74633e-11
1.45 1.7583e-11
1.55 1.69684e-11
1.65 1.5723e-11
1.75 1.33517e-11
1.85 1.08989e-11
1.95 8.57665e-12
2.05 6.14017e-12
2.15 4.03326e-12
2.25 2.53003e-12
2.35 1.41458e-12
2.45 8.0763e-13
2.55 3.59817e-13
2.65 1.10675e-13
2.75 3.55847e-15
2.85 2.85254e-15
2.95 2.28149e-15
3.05 1.74361e-15
3.15 1.27752e-15
3.25 9.58279e-16
3.35 7.20613e-16
3.45 5.77578e-16
3.55 4.67447e-16
3.65 3.93971e-16
3.75 3.42142e-16
3.85 3.10924e-16
3.95 2.82208e-16
4.05 2.5594e-16
4.15 2.31956e-16
4.25 2.09984e-16
4.35 1.8997e-16
4.45 1.71751e-16
4.55 1.55109e-16
4.65 1.40044e-16
4.75 1.26284e-16
4.85 1.1383e-16
4.95 1.02517e-16
5.05 9.22928e-17
5.15 8.30472e-17
5.25 7.46718e-17
5.35 6.70578e-17
5.45 6.02596e-17
5.55 5.40759e-17
5.65 4.85068e-17
5.75 4.34869e-17
5.85 3.89675e-17
5.95 3.49049e-17
6.05 3.12501e-17
6.15 2.79598e-17
6.25 2.50066e-17
6.35 2.23526e-17
6.45 1.99759e-17
6.55 1.7844e-17
6.65 1.59296e-17
6.75 1.42165e-17
6.85 1.26828e-17
6.95 1.13123e-17
7.05 1.00831e-17
7.15 8.98455e-18
7.25 8.00016e-18
7.35 7.12455e-18
7.45 6.34139e-18
7.55 5.64525e-18
7.65 5.01764e-18
7.75 4.46399e-18
7.85 3.96636e-18
7.95 3.52529e-18
8.05 3.131e-18
8.15 2.78129e-18
8.25 2.46858e-18
8.35 2.19066e-18
8.45 1.94484e-18
8.55 1.72403e-18
8.65 1.52933e-18
8.75 1.35584e-18
8.85 1.19975e-18
8.95 1.06433e-18
9.05 9.43051e-19
9.15 8.34823e-19
9.25 7.40192e-19
9.35 6.53174e-19
9.45 5.79753e-19
9.55 5.10847e-19
9.65 4.54231e-19
9.75 4.00661e-19
9.85 3.53019e-19
9.95 3.12719e-19
