unit: MeV
spectrum:
0.05 1.50075e-11
0.15 2.54616e-11
0.25 3.16412e-11
0.35 3.57144e-11
0.45 3.83783e-11
0.55 3.98031e-11
0.65 4.04227e-11
0.75 4.04304e-11
0.85 3.98883e-11
0.95 3.88584e-11
1.05 3.75962e-11
1.15 3.6241e-11
1.25 3.48007e-11
1.35 3.33138e-11
1.45 3.17883e-11
1.55 3.02628e-11
1.65 2.87295e-11
1.75 2.72272e-11
1.85 2.57249e-11
1.95 2.42381e-11
2.05 2.27823e-11
2.15 2.13729e-11
2.25 2.00022e-11
2.35 1.86858e-11
2.45 1.74236e-11
2.55 1.62155e-11
2.65 1.50694e-11
2.75 1.39853e-11
2.85 1.29631e-11
2.95 1.19952e-11
3.05 1.10814e-11
3.15 1.02296e-11
3.25 9.43195e-12
3.35 8.68855e-12
3.45 7.9916e-12
3.55 7.34267e-12
3.65 6.74176e-12
3.75 6.18343e-12
3.85 5.66692e-12
3.95 5.18835e-12
4.05 4.74695e-12
4.15 4.33885e-12
4.25 3.96328e-12
4.35 3.61791e-12
4.45 3.29963e-12
4.55 3.00769e-12
4.65 2.73898e-12
4.75 2.4935e-12
4.85 2.26816e-12
4.95 2.06217e-12
5.05 1.87323e-12
5.15 1.70131e-12
5.25 1.54411e-12
5.35 1.40008e-12
5.45 1.26921e-12
5.55 1.15073e-12
5.65 1.04154e-12
5.75 9.43195e-13
5.85 8.53367e-13
5.95 7.7167e-13
6.05 6.97639e-13
6.15 6.30346e-13
6.25 5.69247e-13
6.35 5.13956e-13
6.45 4.63854e-13
6.55 4.18398e-13
6.65 3.77278e-13
6.75 3.40108e-13
6.85 3.06422e-13
6.95 2.75989e-13
7.05 2.48499e-13
7.15 2.23641e-13
7.25 2.01261e-13
7.35 1.8105e-13
7.45 1.62775e-13
7.55 1.46358e-13
7.65 1.3149e-13
7.75 1.18093e-13
7.85 1.0609e-13
7.95 9.52488e-14
8.05 8.54916e-14
8.15 7.66791e-14
8.25 6.88192e-14
8.35 6.16871e-14
8.45 5.53217e-14
8.55 4.95836e-14
8.65 4.44339e-14
8.75 3.97877e-14
8.85 3.56525e-14
8.95 3.192e-14
9.05 2.85591e-14
9.15 2.55778e-14
9.25 2.28675e-14
9.35 2.04901e-14
9.45 1.82831e-14
9.55 1.63704e-14
9.65 1.4628e-14
9.75 1.30715e-14
9.85 1.16854e-14
9.95 1.04541e-14
