unit: MeV
spectrum:
0.05 1.80258e-12
0.15 3.40589e-12
0.25 4.65876e-12
0.35 5.75131e-12
0.45 5.87499e-12
0.55 5.73985e-12
0.65 5.50852e-12
0.75 5.45355e-12
0.85 5.87957e-12
0.95 6.56212e-12
1.05 7.263e-12
1.15 7.71422e-12
1.25 7.52869e-12
1.35 7.13932e-12
1.45 6.76368e-12
1.55 6.29872e-12
1.65 6.00555e-12
1.75 5.84521e-12
1.85 5.64366e-12
1.95 5.37567e-12
2.05 5.02982e-12
2.15 4.76412e-12
2.25 4.55798e-12
2.35 4.3381e-12
2.45 3.96476e-12
2.55 3.55248e-12
2.65 3.22266e-12
2.75 2.86077e-12
2.85 2.36832e-12
2.95 1.8974e-12
3.05 1.51856e-12
3.15 1.30532e-12
3.25 1.10514e-12
3.35 8.83653e-13
3.45 7.25384e-13
3.55 6.69955e-13
3.65 6.3995e-13
3.75 6.04448e-13
3.85 5.61159e-13
3.95 5.16037e-13
4.05 4.83284e-13
4.15 4.39078e-13
4.25 3.90979e-13
4.35 3.41276e-13
4.45 2.90886e-13
4.55 2.46452e-13
4.65 2.14683e-13
4.75 1.83236e-13
4.85 1.5165e-13
4.95 1.23272e-13
5.05 1.16126e-13
5.15 1.134e-13
5.25 1.10056e-13
5.35 1.06506e-13
5.45 1.02978e-13
5.55 9.84433e-14
5.65 9.41602e-14
5.75 9.05184e-14
5.85 8.76095e-14
5.95 8.60978e-14
6.05 8.57084e-14
6.15 8.55939e-14
6.25 8.52733e-14
6.35 8.3899e-14
6.45 8.09901e-14
6.55 7.68902e-14
6.65 7.20345e-14
6.75 6.711e-14
6.85 6.21398e-14
6.95 5.71466e-14
7.05 5.21763e-14
7.15 4.7229e-14
7.25 4.23732e-14
7.35 3.76778e-14
7.45 3.3555e-14
7.55 3.03026e-14
7.65 2.71876e-14
7.75 2.45994e-14
7.85 2.21417e-14
7.95 1.97459e-14
8.05 1.75334e-14
8.15 1.54994e-14
8.25 1.37221e-14
8.35 1.24852e-14
8.45 1.13629e-14
8.55 1.01329e-14
8.65 8.81592e-15
8.75 7.96846e-15
8.85 7.34087e-15
8.95 6.74765e-15
9.05 6.17733e-15
9.15 5.62991e-15
9.25 5.10769e-15
9.35 4.61067e-15
9.45 4.13654e-15
9.55 3.67845e-15
9.65 3.23869e-15
9.75 2.81954e-15
9.85 2.41642e-15
9.95 2.03231e-15
