unit: MeV
spectrum:
0.05 2.26545e-12
0.15 3.9692e-12
0.25 4.892e-12
0.35 5.49097e-12
0.45 5.88359e-12
0.55 6.12575e-12
0.65 6.25328e-12
0.75 6.29054e-12
0.85 6.25758e-12
0.95 6.16587e-12
1.05 6.03118e-12
1.15 5.86066e-12
1.25 5.66292e-12
1.35 5.44511e-12
1.45 5.21441e-12
1.55 4.97225e-12
1.65 4.72722e-12
1.75 4.47932e-12
1.85 4.23143e-12
1.95 3.98783e-12
2.05 3.74853e-12
2.15 3.51496e-12
2.25 3.28999e-12
2.35 3.07362e-12
2.45 2.86585e-12
2.55 2.66811e-12
2.65 2.47896e-12
2.75 2.30128e-12
2.85 2.13219e-12
2.95 1.97314e-12
3.05 1.82268e-12
3.15 1.68225e-12
3.25 1.55186e-12
3.35 1.42877e-12
3.45 1.31442e-12
3.55 1.20796e-12
3.65 1.10894e-12
3.75 1.01723e-12
3.85 9.32117e-13
3.95 8.53593e-13
4.05 7.80801e-13
4.15 7.1374e-13
4.25 6.51981e-13
4.35 5.95094e-13
4.45 5.42792e-13
4.55 4.94789e-13
4.65 4.50655e-13
4.75 4.10103e-13
4.85 3.73134e-13
4.95 3.39173e-13
5.05 3.08222e-13
5.15 2.7985e-13
5.25 2.53914e-13
5.35 2.30414e-13
5.45 2.0892e-13
5.55 1.89289e-13
5.65 1.71378e-13
5.75 1.55186e-13
5.85 1.40369e-13
5.95 1.26943e-13
6.05 1.14763e-13
6.15 1.03686e-13
6.25 9.36416e-14
6.35 8.45425e-14
6.45 7.63032e-14
6.55 6.88234e-14
6.65 6.206e-14
6.75 5.59414e-14
6.85 5.04103e-14
6.95 4.54094e-14
7.05 4.08813e-14
7.15 3.67975e-14
7.25 3.31149e-14
7.35 2.97762e-14
7.45 2.67814e-14
7.55 2.40731e-14
7.65 2.16372e-14
7.75 1.94305e-14
7.85 1.7453e-14
7.95 1.56619e-14
8.05 1.40627e-14
8.15 1.2614e-14
8.25 1.13215e-14
8.35 1.0148e-14
8.45 9.1005e-15
8.55 8.15621e-15
8.65 7.30935e-15
8.75 6.54417e-15
8.85 5.86496e-15
8.95 5.25024e-15
9.05 4.69856e-15
9.15 4.2085e-15
9.25 3.76143e-15
9.35 3.37024e-15
9.45 3.00771e-15
9.55 2.6939e-15
9.65 2.40731e-15
9.75 2.15082e-15
9.85 1.92155e-15
9.95 1.71951e-15
