unit: MeV
spectrum:
0.05 1.336e-12
0.15 2.204e-12
0.25 2.808e-12
0.35 3.293e-12
0.45 3.627e-12
0.55 3.84e-12
0.65 4.03e-12
0.75 4.15e-12
0.85 4.24e-12
0.95 4.305e-12
1.05 4.352e-12
1.15 4.408e-12
1.25 4.478e-12
1.35 4.531e-12
1.45 4.557e-12
1.55 4.561e-12
1.65 4.585e-12
1.75 4.623e-12
1.85 4.581e-12
1.95 4.412e-12
2.05 4.163e-12
2.15 3.933e-12
2.25 3.708e-12
2.35 3.481e-12
2.45 3.247e-12
2.55 3.032e-12
2.65 2.869e-12
2.75 2.752e-12
2.85 2.625e-12
2.95 2.497e-12
3.05 2.379e-12
3.15 2.266e-12
3.25 2.145e-12
3.35 2.027e-12
3.45 1.918e-12
3.55 1.801e-12
3.65 1.686e-12
3.75 1.575e-12
3.85 1.466e-12
3.95 1.359e-12
4.05 1.26e-12
4.15 1.17e-12
4.25 1.093e-12
4.35 1.025e-12
4.45 9.571e-13
4.55 8.964e-13
4.65 8.411e-13
4.75 7.904e-13
4.85 7.416e-13
4.95 6.987e-13
5.05 6.599e-13
5.15 6.223e-13
5.25 5.805e-13
5.35 5.432e-13
5.45 5.144e-13
5.55 4.831e-13
5.65 4.514e-13
5.75 4.24e-13
5.85 4.054e-13
5.95 3.895e-13
6.05 3.754e-13
6.15 3.624e-13
6.25 3.487e-13
6.35 3.333e-13
6.45 3.183e-13
6.55 3.022e-13
6.65 2.861e-13
6.75 2.705e-13
6.85 2.552e-13
6.95 2.403e-13
7.05 2.267e-13
7.15 2.108e-13
7.25 1.928e-13
7.35 1.761e-13
7.45 1.605e-13
7.55 1.464e-13
7.65 1.329e-13
7.75 1.21e-13
7.85 1.094e-13
7.95 9.769e-14
8.05 8.643e-14
8.15 7.547e-14
8.25 6.507e-14
8.35 5.572e-14
8.45 4.629e-14
8.55 3.825e-14
8.65 3.344e-14
8.75 2.978e-14
8.85 2.682e-14
8.95 2.409e-14
9.05 2.15e-14
9.15 1.9e-14
9.25 1.661e-14
9.35 1.454e-14
9.45 1.306e-14
9.55 1.178e-14
9.65 1.052e-14
9.75 9.291e-15
9.85 8.107e-15
9.95 6.964e-15
