unit: MeV
spectrum:
0.05 6.799e-12
0.15 1.206e-11
0.25 1.533e-11
0.35 1.763e-11
0.45 1.924e-11
0.55 2.029e-11
0.65 2.094e-11
0.75 2.126e-11
0.85 2.131e-11
0.95 2.12e-11
1.05 2.084e-11
1.15 2.027e-11
1.25 1.957e-11
1.35 1.883e-11
1.45 1.808e-11
1.55 1.74e-11
1.65 1.68e-11
1.75 1.632e-11
1.85 1.569e-11
1.95 1.505e-11
2.05 1.424e-11
2.15 1.352e-11
2.25 1.284e-11
2.35 1.217e-11
2.45 1.149e-11
2.55 1.085e-11
2.65 1.023e-11
2.75 9.615e-12
2.85 8.953e-12
2.95 8.303e-12
3.05 7.689e-12
3.15 7.123e-12
3.25 6.594e-12
3.35 6.096e-12
3.45 5.635e-12
3.55 5.212e-12
3.65 4.833e-12
3.75 4.488e-12
3.85 4.174e-12
3.95 3.88e-12
4.05 3.6e-12
4.15 3.358e-12
4.25 3.149e-12
4.35 2.974e-12
4.45 2.776e-12
4.55 2.583e-12
4.65 2.414e-12
4.75 2.27e-12
4.85 2.129e-12
4.95 1.991e-12
5.05 1.863e-12
5.15 1.732e-12
5.25 1.606e-12
5.35 1.489e-12
5.45 1.387e-12
5.55 1.29e-12
5.65 1.198e-12
5.75 1.117e-12
5.85 1.05e-12
5.95 9.991e-13
6.05 9.536e-13
6.15 9.113e-13
6.25 8.668e-13
6.35 8.126e-13
6.45 7.517e-13
6.55 6.847e-13
6.65 6.186e-13
6.75 5.58e-13
6.85 5.077e-13
6.95 4.628e-13
7.05 4.181e-13
7.15 3.741e-13
7.25 3.32e-13
7.35 2.911e-13
7.45 2.531e-13
7.55 2.276e-13
7.65 2.053e-13
7.75 1.838e-13
7.85 1.629e-13
7.95 1.431e-13
8.05 1.281e-13
8.15 1.15e-13
8.25 1.024e-13
8.35 9.154e-14
8.45 8.26e-14
8.55 7.37e-14
8.65 6.518e-14
8.75 5.708e-14
8.85 4.959e-14
8.95 4.253e-14
9.05 3.581e-14
9.15 2.944e-14
9.25 2.345e-14
9.35 1.809e-14
9.45 1.315e-14
9.55 9.442e-15
9.65 8.123e-15
9.75 6.923e-15
9.85 5.78e-15
9.95 4.739e-15
