unit: MeV
spectrum:
0.05 6.28978e-12
0.15 1.38478e-11
0.25 1.82181e-11
0.35 1.88008e-11
0.45 1.83381e-11
0.55 1.7841e-11
0.65 1.63192e-11
0.75 1.57073e-11
0.85 1.68007e-11
0.95 1.60449e-11
1.05 1.27784e-11
1.15 9.0422e-12
1.25 5.55454e-12
1.35 5.50313e-12
1.45 5.54083e-12
1.55 5.34717e-12
1.65 4.9547e-12
1.75 4.20747e-12
1.85 3.43453e-12
1.95 2.70272e-12
2.05 1.93492e-12
2.15 1.27098e-12
2.25 7.97277e-13
2.35 4.45769e-13
2.45 2.54505e-13
2.55 1.13387e-13
2.65 3.48766e-14
2.75 1.12136e-15
2.85 8.98907e-16
2.95 7.18955e-16
3.05 5.49456e-16
3.15 4.0258e-16
3.25 3.01978e-16
3.35 2.27083e-16
3.45 1.82009e-16
3.55 1.47304e-16
3.65 1.2415e-16
3.75 1.07817e-16
3.85 9.798e-17
3.95 8.8931e-17
4.05 8.06532e-17
4.15 7.30951e-17
4.25 6.61712e-17
4.35 5.98643e-17
4.45 5.4123e-17
4.55 4.88786e-17
4.65 4.41313e-17
4.75 3.97953e-17
4.85 3.58706e-17
4.95 3.23058e-17
5.05 2.90838e-17
5.15 2.61703e-17
5.25 2.3531e-17
5.35 2.11316e-17
5.45 1.89893e-17
5.55 1.70407e-17
5.65 1.52857e-17
5.75 1.37038e-17
5.85 1.22796e-17
5.95 1.09994e-17
6.05 9.84771e-18
6.15 8.81083e-18
6.25 7.88022e-18
6.35 7.04387e-18
6.45 6.29492e-18
6.55 5.6231e-18
6.65 5.01983e-18
6.75 4.47997e-18
6.85 3.99667e-18
6.95 3.56478e-18
7.05 3.17745e-18
7.15 2.83126e-18
7.25 2.52105e-18
7.35 2.24513e-18
7.45 1.99833e-18
7.55 1.77896e-18
7.65 1.58119e-18
7.75 1.40672e-18
7.85 1.2499e-18
7.95 1.11091e-18
8.05 9.86656e-19
8.15 8.76456e-19
8.25 7.77911e-19
8.35 6.90333e-19
8.45 6.12868e-19
8.55 5.43286e-19
8.65 4.81931e-19
8.75 4.2726e-19
8.85 3.78072e-19
8.95 3.35398e-19
9.05 2.97179e-19
9.15 2.63074e-19
9.25 2.33253e-19
9.35 2.05832e-19
9.45 1.82695e-19
9.55 1.60981e-19
9.65 1.4314e-19
9.75 1.26258e-19
9.85 1.11245e-19
9.95 9.85456e-20
