unit: MeV
spectrum:
0.05 1.50375e-11
0.15 2.55126e-11
0.25 3.17045e-11
0.35 3.57859e-11
0.45 3.8455e-11
0.55 3.98828e-11
0.65 4.05035e-11
0.75 4.05113e-11
0.85 3.99681e-11
0.95 3.89361e-11
1.05 3.76714e-11
1.15 3.63135e-11
1.25 3.48703e-11
1.35 3.33805e-11
1.45 3.18519e-11
1.55 3.03233e-11
1.65 2.8787e-11
1.75 2.72817e-11
1.85 2.57764e-11
1.95 2.42866e-11
2.05 2.28278e-11
2.15 2.14156e-11
2.25 2.00422e-11
2.35 1.87232e-11
2.45 1.74584e-11
2.55 1.6248e-11
2.65 1.50996e-11
2.75 1.40133e-11
2.85 1.29891e-11
2.95 1.20191e-11
3.05 1.11035e-11
3.15 1.025e-11
3.25 9.45082e-12
3.35 8.70592e-12
3.45 8.00759e-12
3.55 7.35736e-12
3.65 6.75524e-12
3.75 6.19579e-12
3.85 5.67825e-12
3.95 5.19873e-12
4.05 4.75645e-12
4.15 4.34753e-12
4.25 3.97121e-12
4.35 3.62514e-12
4.45 3.30623e-12
4.55 3.01371e-12
4.65 2.74446e-12
4.75 2.49849e-12
4.85 2.2727e-12
4.95 2.0663e-12
5.05 1.87697e-12
5.15 1.70472e-12
5.25 1.5472e-12
5.35 1.40288e-12
5.45 1.27175e-12
5.55 1.15303e-12
5.65 1.04362e-12
5.75 9.45082e-13
5.85 8.55074e-13
5.95 7.73213e-13
6.05 6.99035e-13
6.15 6.31606e-13
6.25 5.70386e-13
6.35 5.14984e-13
6.45 4.64782e-13
6.55 4.19235e-13
6.65 3.78033e-13
6.75 3.40788e-13
6.85 3.07035e-13
6.95 2.76541e-13
7.05 2.48996e-13
7.15 2.24088e-13
7.25 2.01664e-13
7.35 1.81412e-13
7.45 1.631e-13
7.55 1.46651e-13
7.65 1.31753e-13
7.75 1.18329e-13
7.85 1.06302e-13
7.95 9.54393e-14
8.05 8.56626e-14
8.15 7.68325e-14
8.25 6.89568e-14
8.35 6.18105e-14
8.45 5.54324e-14
8.55 4.96827e-14
8.65 4.45228e-14
8.75 3.98672e-14
8.85 3.57238e-14
8.95 3.19838e-14
9.05 2.86163e-14
9.15 2.56289e-14
9.25 2.29132e-14
9.35 2.05311e-14
9.45 1.83197e-14
9.55 1.64031e-14
9.65 1.46573e-14
9.75 1.30977e-14
9.85 1.17088e-14
9.95 1.0475e-14
