unit: MeV
spectrum:
0.005 0.000786062
0.015 0.000933371
0.025 0.00106879
0.035 0.00119275
0.045 0.00130567
0.055 0.00140799
0.065 0.00150014
0.075 0.00158254
0.085 0.00165562
0.095 0.00171981
0.105 0.00177554
0.115 0.00182324
0.125 0.00186334
0.135 0.00189627
0.145 0.00192244
0.155 0.00194231
0.165 0.00195628
0.175 0.0019648
0.185 0.00196829
0.195 0.00196718
0.205 0.00196189
0.215 0.00195286
0.225 0.00194052
0.235 0.00192529
0.245 0.0019076
0.255 0.00188789
0.265 0.00186658
0.275 0.00184409
0.285 0.00182086
0.295 0.00179732
0.305 0.0017739
0.315 0.00175102
0.325 0.00172911
0.335 0.00170861
0.345 0.00168984
0.355 0.0016728
0.365 0.00165738
0.375 0.00164347
0.385 0.00163095
0.395 0.00161974
0.405 0.0016097
0.415 0.00160075
0.425 0.00159278
0.435 0.00158567
0.445 0.00157931
0.455 0.00157361
0.465 0.00156846
0.475 0.00156374
0.485 0.00155935
0.495 0.00155518
0.505 0.00155113
0.515 0.00154708
0.525 0.00154294
0.535 0.00153859
0.545 0.00153393
0.555 0.00152886
0.565 0.00152339
0.575 0.00151754
0.585 0.00151131
0.595 0.00150473
0.605 0.00149781
0.615 0.00149057
0.625 0.00148303
0.635 0.00147519
0.645 0.00146709
0.655 0.00145873
0.665 0.00145013
0.675 0.0014413
0.685 0.00143228
0.695 0.00142306
0.705 0.00141367
0.715 0.00140412
0.725 0.00139443
0.735 0.00138462
0.745 0.00137471
0.755 0.0013647
0.765 0.00135462
0.775 0.00134449
0.785 0.00133434
0.795 0.00132418
0.805 0.00131405
0.815 0.00130396
0.825 0.00129394
0.835 0.00128401
0.845 0.0012742
0.855 0.00126454
0.865 0.00125503
0.875 0.00124572
0.885 0.00123661
0.895 0.00122775
0.905 0.00121914
0.915 0.00121082
0.925 0.0012028
0.935 0.00119512
0.945 0.00118779
0.955 0.00118085
0.965 0.0011743
0.975 0.00116819
0.985 0.00116251
0.995 0.00115724
1.005 0.00115234
1.015 0.00114777
1.025 0.00114349
1.035 0.00113946
1.045 0.00113563
1.055 0.00113196
1.065 0.00112843
1.075 0.00112497
1.085 0.00112156
1.095 0.00111815
1.105 0.0011147
1.115 0.00111118
1.125 0.00110753
1.135 0.00110372
1.145 0.00109971
1.155 0.00109546
1.165 0.00109093
1.175 0.00108607
1.185 0.00108084
1.195 0.00107523
1.205 0.00106926
1.215 0.00106299
1.225 0.00105647
1.235 0.00104976
1.245 0.00104289
1.255 0.00103593
1.265 0.00102893
1.275 0.00102193
1.285 0.001015
1.295 0.00100817
1.305 0.00100152
1.315 0.000995071
1.325 0.000988893
1.335 0.000983034
1.345 0.000977546
1.355 0.00097248
1.365 0.000967888
1.375 0.000963821
1.385 0.000960331
1.395 0.000957471
1.405 0.000955291
1.415 0.000953833
1.425 0.000953086
1.435 0.000953033
1.445 0.000953653
1.455 0.000954927
1.465 0.000956834
1.475 0.000959356
1.485 0.000962472
1.495 0.000966163
1.505 0.000970408
1.515 0.000975189
1.525 0.000980485
1.535 0.000986277
1.545 0.000992545
1.555 0.00099927
1.565 0.00100643
1.575 0.00101401
1.585 0.00102198
1.595 0.00103033
1.605 0.00103904
1.615 0.00104809
1.625 0.00105745
1.635 0.00106707
1.645 0.00107688
1.655 0.00108682
1.665 0.00109684
1.675 0.00110688
1.685 0.00111686
1.695 0.00112673
1.705 0.00113644
1.715 0.00114591
1.725 0.00115509
1.735 0.00116391
1.745 0.00117232
1.755 0.00118026
1.765 0.00118765
1.775 0.00119445
1.785 0.00120058
1.795 0.001206
1.805 0.00121064
1.815 0.00121443
1.825 0.00121731
1.835 0.00121926
1.845 0.00122032
1.855 0.00122056
1.865 0.00122007
1.875 0.00121893
1.885 0.0012172
1.895 0.00121498
1.905 0.00121232
1.915 0.00120932
1.925 0.00120605
1.935 0.00120258
1.945 0.00119899
1.955 0.00119537
1.965 0.00119178
1.975 0.0011883
1.985 0.00118502
1.995 0.001182
