unit: MeV
spectrum:
0.005 0.00373083
0.015 0.00373083
0.025 0.00373083
0.035 0.00373051
0.045 0.00371767
0.055 0.00369409
0.065 0.00366136
0.075 0.00362094
0.085 0.00357414
0.095 0.00352214
0.105 0.00346602
0.115 0.00340673
0.125 0.0033451
0.135 0.00328193
0.145 0.00321785
0.155 0.00315346
0.165 0.00308927
0.175 0.00302574
0.185 0.00296323
0.195 0.00290207
0.205 0.00284254
0.215 0.00278484
0.225 0.00272918
0.235 0.00267568
0.245 0.00262444
0.255 0.00257555
0.265 0.00252904
0.275 0.00248495
0.285 0.00244325
0.295 0.00240393
0.305 0.00236694
0.315 0.00233223
0.325 0.00229974
0.335 0.00226938
0.345 0.00224105
0.355 0.00221468
0.365 0.00219015
0.375 0.00216735
0.385 0.00214618
0.395 0.00212652
0.405 0.00210826
0.415 0.0020913
0.425 0.0020755
0.435 0.00206075
0.445 0.00204696
0.455 0.00203403
0.465 0.00202181
0.475 0.00201024
0.485 0.00199922
0.495 0.00198863
0.505 0.0019784
0.515 0.00196846
0.525 0.00195872
0.535 0.0019491
0.545 0.00193952
0.555 0.00192995
0.565 0.0019203
0.575 0.00191053
0.585 0.0019006
0.595 0.00189046
0.605 0.00188006
0.615 0.00186939
0.625 0.00185841
0.635 0.00184708
0.645 0.00183539
0.655 0.00182335
0.665 0.00181091
0.675 0.00179808
0.685 0.00178486
0.695 0.00177124
0.705 0.00175723
0.715 0.00174283
0.725 0.00172806
0.735 0.00171291
0.745 0.00169742
0.755 0.00168159
0.765 0.00166543
0.775 0.00164899
0.785 0.00163226
0.795 0.00161529
0.805 0.00159808
0.815 0.00158068
0.825 0.0015631
0.835 0.00154536
0.845 0.00152752
0.855 0.00150958
0.865 0.00149158
0.875 0.00147356
0.885 0.00145553
0.895 0.00143753
0.905 0.00141958
0.915 0.00140172
0.925 0.00138397
0.935 0.00136638
0.945 0.00134894
0.955 0.00133171
0.965 0.0013147
0.975 0.00129794
0.985 0.00128144
0.995 0.00126525
1.005 0.00124936
1.015 0.00123381
1.025 0.00121863
1.035 0.00120383
1.045 0.00118941
1.055 0.0011754
1.065 0.00116182
1.075 0.00114867
1.085 0.00113598
1.095 0.00112374
1.105 0.00111198
1.115 0.0011007
1.125 0.0010899
1.135 0.0010796
1.145 0.00106979
1.155 0.00106049
1.165 0.00105168
1.175 0.00104338
1.185 0.00103559
1.195 0.0010283
1.205 0.0010215
1.215 0.0010152
1.225 0.0010094
1.235 0.00100408
1.245 0.000999238
1.255 0.00099487
1.265 0.000990966
1.275 0.000987517
1.285 0.000984514
1.295 0.000981945
1.305 0.000979799
1.315 0.000978065
1.325 0.000976731
1.335 0.000975781
1.345 0.000975204
1.355 0.000974987
1.365 0.000975112
1.375 0.000975569
1.385 0.00097634
1.395 0.00097741
1.405 0.000978764
1.415 0.000980387
1.425 0.000982263
1.435 0.000984375
1.445 0.000986708
1.455 0.000989248
1.465 0.000991977
1.475 0.00099488
1.485 0.000997942
1.495 0.00100115
1.505 0.00100448
1.515 0.00100793
1.525 0.00101147
1.535 0.0010151
1.545 0.0010188
1.555 0.00102256
1.565 0.00102636
1.575 0.00103019
1.585 0.00103403
1.595 0.00103789
1.605 0.00104174
1.615 0.00104557
1.625 0.00104937
1.635 0.00105314
1.645 0.00105686
1.655 0.00106053
1.665 0.00106413
1.675 0.00106766
1.685 0.00107111
1.695 0.00107447
1.705 0.00107774
1.715 0.00108092
1.725 0.00108399
1.735 0.00108695
