unit: MeV
spectrum:
0.005 0
0.015 3.16115e-05
0.025 6.32521e-05
0.035 9.49082e-05
0.045 0.000126566
0.055 0.000158213
0.065 0.000189834
0.075 0.000221416
0.085 0.000252946
0.095 0.00028441
0.105 0.000315794
0.115 0.000347085
0.125 0.000378269
0.135 0.000409333
0.145 0.000440263
0.155 0.000471045
0.165 0.000501666
0.175 0.000532113
0.185 0.000562371
0.195 0.000592427
0.205 0.000622267
0.215 0.000651879
0.225 0.000681247
0.235 0.00071036
0.245 0.000739202
0.255 0.000767761
0.265 0.000796024
0.275 0.000823975
0.285 0.000851602
0.295 0.000878891
0.305 0.000905829
0.315 0.000932402
0.325 0.000958596
0.335 0.000984398
0.345 0.00100979
0.355 0.00103477
0.365 0.00105931
0.375 0.00108341
0.385 0.00110705
0.395 0.00113021
0.405 0.00115289
0.415 0.00117506
0.425 0.00119672
0.435 0.00121786
0.445 0.00123845
0.455 0.00125848
0.465 0.00127795
0.475 0.00129683
0.485 0.00131512
0.495 0.0013328
0.505 0.00134986
0.515 0.00136627
0.525 0.00138204
0.535 0.00139715
0.545 0.00141157
0.555 0.00142531
0.565 0.00143834
0.575 0.00145065
0.585 0.00146223
0.595 0.00147306
0.605 0.00148314
0.615 0.00149244
0.625 0.00150096
0.635 0.00150867
0.645 0.00151558
0.655 0.00152165
0.665 0.00152689
0.675 0.00153127
0.685 0.00153478
0.695 0.00153741
0.705 0.00153915
0.715 0.00153997
0.725 0.00153988
0.735 0.00153885
0.745 0.00153687
0.755 0.00153393
0.765 0.00153002
0.775 0.00152522
0.785 0.0015196
0.795 0.00151325
0.805 0.00150623
0.815 0.00149863
0.825 0.00149054
0.835 0.00148202
0.845 0.00147316
0.855 0.00146404
0.865 0.00145474
0.875 0.00144534
0.885 0.00143591
0.895 0.00142654
0.905 0.0014173
0.915 0.00140828
0.925 0.00139955
0.935 0.0013912
0.945 0.0013833
0.955 0.00137593
0.965 0.00136917
0.975 0.00136311
0.985 0.00135781
0.995 0.00135337
1.005 0.00134986
1.015 0.00134732
1.025 0.00134573
1.035 0.001345
1.045 0.00134506
1.055 0.00134583
1.065 0.00134725
1.075 0.00134923
1.085 0.00135171
1.095 0.00135462
1.105 0.00135788
1.115 0.00136141
1.125 0.00136515
1.135 0.00136901
1.145 0.00137294
1.155 0.00137685
1.165 0.00138067
1.175 0.00138432
1.185 0.00138774
1.195 0.00139086
1.205 0.00139359
1.215 0.00139586
1.225 0.00139761
1.235 0.00139875
1.245 0.00139922
1.255 0.00139894
1.265 0.00139786
1.275 0.001396
1.285 0.00139339
1.295 0.00139008
1.305 0.0013861
1.315 0.0013815
1.325 0.00137631
1.335 0.00137057
1.345 0.00136433
1.355 0.00135761
1.365 0.00135047
1.375 0.00134293
1.385 0.00133504
1.395 0.00132684
1.405 0.00131836
1.415 0.00130965
1.425 0.00130075
1.435 0.00129168
1.445 0.0012825
1.455 0.00127324
1.465 0.00126395
1.475 0.00125465
1.485 0.00124539
1.495 0.00123621
1.505 0.00122714
1.515 0.00121823
1.525 0.0012095
1.535 0.00120099
1.545 0.00119271
1.555 0.00118469
1.565 0.00117696
1.575 0.00116956
1.585 0.00116249
1.595 0.0011558
1.605 0.00114951
1.615 0.00114364
1.625 0.00113823
1.635 0.00113329
1.645 0.00112886
1.655 0.00112497
1.665 0.00112163
1.675 0.00111888
1.685 0.00111675
1.695 0.00111526
1.705 0.00111443
1.715 0.0011143
1.725 0.00111489
1.735 0.00111623
1.745 0.00111835
1.755 0.00112127
1.765 0.00112502
1.775 0.00112962
1.785 0.00113511
1.795 0.00114151
1.805 0.00114885
1.815 0.00115715
1.825 0.00116644
1.835 0.00117675
1.845 0.00118811
1.855 0.00120054
1.865 0.00121406
1.875 0.00122872
1.885 0.00124452
1.895 0.00126151
1.905 0.0012797
1.915 0.00129913
1.925 0.00131982
1.935 0.00134179
1.945 0.00136508
1.955 0.00138971
1.965 0.00141571
1.975 0.0014431
1.985 0.00147192
1.995 0.00150218
2.005 0.00153393
2.015 0.00156707
2.025 0.00160116
2.035 0.00163564
2.045 0.00166994
2.055 0.0017035
2.065 0.00173577
2.075 0.00176619
2.085 0.00179419
2.095 0.00181922
2.105 0.00184071
2.115 0.00185825
2.125 0.00187192
2.135 0.00188197
2.145 0.00188862
2.155 0.00189211
2.165 0.00189267
2.175 0.00189054
2.185 0.00188594
2.195 0.00187911
2.205 0.00187027
2.215 0.00185968
2.225 0.00184755
2.235 0.00183412
2.245 0.00181961
2.255 0.00180428
2.265 0.00178834
2.275 0.00177203
2.285 0.00175558
2.295 0.00173923
2.305 0.0017232
2.315 0.00170773
2.325 0.00169306
2.335 0.00167941
2.345 0.00166702
2.355 0.00165611
2.365 0.00164693
2.375 0.00163971
2.385 0.00163467
2.395 0.00163206
2.405 0.0016321
2.415 0.00163493
2.425 0.00164037
2.435 0.00164811
2.445 0.00165786
2.455 0.00166935
2.465 0.00168227
2.475 0.00169634
2.485 0.00171127
2.495 0.00172676
2.505 0.00174254
2.515 0.00175835
2.525 0.00177413
2.535 0.00178987
2.545 0.00180555
2.555 0.00182114
2.565 0.00183664
2.575 0.00185202
2.585 0.00186727
2.595 0.00188237
2.605 0.00189731
2.615 0.00191206
2.625 0.00192662
2.635 0.00194095
2.645 0.00195505
2.655 0.00196889
2.665 0.00198247
2.675 0.00199575
2.685 0.00200874
2.695 0.0020214
2.705 0.00203372
2.715 0.00204568
2.725 0.00205727
2.735 0.00206847
2.745 0.00207926
2.755 0.00208963
2.765 0.00209955
2.775 0.00210901
2.785 0.002118
2.795 0.00212649
2.805 0.00213446
2.815 0.00214191
2.825 0.00214881
2.835 0.00215515
2.845 0.0021609
2.855 0.00216606
2.865 0.0021706
