unit: MeV
spectrum:
0.05 7.58776e-08
0.15 1.32964e-07
0.25 1.63879e-07
0.35 1.83973e-07
0.45 1.9712e-07
0.55 2.05245e-07
0.65 2.09524e-07
0.75 2.10764e-07
0.85 2.09617e-07
0.95 2.06578e-07
1.05 2.02051e-07
1.15 1.96345e-07
1.25 1.89709e-07
1.35 1.82422e-07
1.45 1.7467e-07
1.55 1.66608e-07
1.65 1.5836e-07
1.75 1.5005e-07
1.85 1.4177e-07
1.95 1.33584e-07
2.05 1.25584e-07
2.15 1.17801e-07
2.25 1.10235e-07
2.35 1.02979e-07
2.45 9.6033e-08
2.55 8.93972e-08
2.65 8.30715e-08
2.75 7.70869e-08
2.85 7.14434e-08
2.95 6.61099e-08
3.05 6.10866e-08
3.15 5.63733e-08
3.25 5.19701e-08
3.35 4.7877e-08
3.45 4.40319e-08
3.55 4.0466e-08
3.65 3.71481e-08
3.75 3.40782e-08
3.85 3.12255e-08
3.95 2.85959e-08
4.05 2.61618e-08
4.15 2.39137e-08
4.25 2.18454e-08
4.35 1.99384e-08
4.45 1.81864e-08
4.55 1.6574e-08
4.65 1.5098e-08
4.75 1.37429e-08
4.85 1.24995e-08
4.95 1.13646e-08
5.05 1.03258e-08
5.15 9.37694e-09
5.25 8.50871e-09
5.35 7.71799e-09
5.45 6.9986e-09
5.55 6.34122e-09
5.65 5.74276e-09
5.75 5.19701e-09
5.85 4.70397e-09
5.95 4.25435e-09
6.05 3.84504e-09
6.15 3.47294e-09
6.25 3.13805e-09
6.35 2.83262e-09
6.45 2.55633e-09
6.55 2.3061e-09
6.65 2.07942e-09
6.75 1.87415e-09
6.85 1.68872e-09
6.95 1.52127e-09
7.05 1.36964e-09
7.15 1.23289e-09
7.25 1.10917e-09
7.35 9.9785e-10
7.45 8.97073e-10
7.55 8.06529e-10
7.65 7.24666e-10
7.75 6.50866e-10
7.85 5.84818e-10
7.95 5.24972e-10
8.05 4.71018e-10
8.15 4.22645e-10
8.25 3.79233e-10
8.35 3.39852e-10
8.45 3.04906e-10
8.55 2.73277e-10
8.65 2.44904e-10
8.75 2.19291e-10
8.85 1.96469e-10
8.95 1.75911e-10
9.05 1.57399e-10
9.15 1.40995e-10
9.25 1.26018e-10
9.35 1.12933e-10
9.45 1.00746e-10
9.55 9.02345e-11
9.65 8.06218e-11
9.75 7.20325e-11
9.85 6.44045e-11
9.95 5.76136e-11
