unit: MeV
spectrum:
0.05 4.37914e-07
0.15 7.67379e-07
0.25 9.45802e-07
0.35 1.06177e-06
0.45 1.13765e-06
0.55 1.18453e-06
0.65 1.20923e-06
0.75 1.21639e-06
0.85 1.20977e-06
0.95 1.19223e-06
1.05 1.1661e-06
1.15 1.13317e-06
1.25 1.09488e-06
1.35 1.05282e-06
1.45 1.00808e-06
1.55 9.61551e-07
1.65 9.13947e-07
1.75 8.65986e-07
1.85 8.18204e-07
1.95 7.70958e-07
2.05 7.24787e-07
2.15 6.79868e-07
2.25 6.36202e-07
2.35 5.94325e-07
2.45 5.54238e-07
2.55 5.15941e-07
2.65 4.79433e-07
2.75 4.44894e-07
2.85 4.12323e-07
2.95 3.81542e-07
3.05 3.52551e-07
3.15 3.25349e-07
3.25 2.99936e-07
3.35 2.76314e-07
3.45 2.54123e-07
3.55 2.33542e-07
3.65 2.14394e-07
3.75 1.96677e-07
3.85 1.80212e-07
3.95 1.65037e-07
4.05 1.50988e-07
4.15 1.38014e-07
4.25 1.26077e-07
4.35 1.15071e-07
4.45 1.0496e-07
4.55 9.5654e-08
4.65 8.71355e-08
4.75 7.93149e-08
4.85 7.21387e-08
4.95 6.55887e-08
5.05 5.95936e-08
5.15 5.41174e-08
5.25 4.91065e-08
5.35 4.45431e-08
5.45 4.03912e-08
5.55 3.65973e-08
5.65 3.31433e-08
5.75 2.99937e-08
5.85 2.71482e-08
5.95 2.45533e-08
6.05 2.2191e-08
6.15 2.00435e-08
6.25 1.81107e-08
6.35 1.6348e-08
6.45 1.47534e-08
6.55 1.33092e-08
6.65 1.2001e-08
6.75 1.08163e-08
6.85 9.74615e-09
6.95 8.77976e-09
7.05 7.90465e-09
7.15 7.11544e-09
7.25 6.40139e-09
7.35 5.75892e-09
7.45 5.1773e-09
7.55 4.65474e-09
7.65 4.18229e-09
7.75 3.75636e-09
7.85 3.37518e-09
7.95 3.02979e-09
8.05 2.7184e-09
8.15 2.43922e-09
8.25 2.18868e-09
8.35 1.9614e-09
8.45 1.75971e-09
8.55 1.57717e-09
8.65 1.41342e-09
8.75 1.2656e-09
8.85 1.13389e-09
8.95 1.01524e-09
9.05 9.084e-10
9.15 8.1373e-10
9.25 7.27292e-10
9.35 6.51771e-10
9.45 5.8144e-10
9.55 5.20773e-10
9.65 4.65295e-10
9.75 4.15723e-10
9.85 3.71699e-10
9.95 3.32507e-10
