unit: MeV
spectrum:
5 6.37054e-09
15 1.37989e-10
25 8.17166e-11
35 6.29838e-11
45 7.05571e-11
55 5.74808e-11
65 3.92622e-11
75 3.14084e-11
85 2.60256e-11
95 2.07364e-11
105 1.77578e-11
115 1.50865e-11
125 1.32699e-11
135 1.16604e-11
145 1.03515e-11
155 9.93075e-12
165 8.04077e-12
175 7.47978e-12
185 6.87873e-12
195 5.89033e-12
205 5.4963e-12
215 5.33602e-12
225 4.81511e-12
235 4.3543e-12
245 4.13391e-12
255 3.41933e-12
265 3.38594e-12
275 3.19894e-12
285 3.17223e-12
295 2.7181e-12
305 2.49771e-12
315 2.51107e-12
325 2.25729e-12
335 2.05026e-12
345 2.16379e-12
355 1.64288e-12
365 1.70299e-12
375 1.52935e-12
385 1.52267e-12
395 1.40914e-12
405 1.34235e-12
415 1.35571e-12
425 1.26221e-12
435 1.24218e-12
445 1.0819e-12
455 1.02179e-12
465 9.21616e-13
475 9.4833e-13
485 9.4833e-13
495 7.8137e-13
505 8.81546e-13
515 7.27943e-13
525 6.61159e-13
535 6.67838e-13
545 6.81194e-13
555 6.14411e-13
565 5.60984e-13
575 7.21265e-13
585 4.5413e-13
595 5.54305e-13
605 4.34094e-13
615 4.74165e-13
625 4.27416e-13
635 4.27416e-13
645 4.20738e-13
655 3.07205e-13
665 3.73989e-13
675 3.47276e-13
685 3.2724e-13
695 2.80492e-13
705 4.00703e-13
715 3.67311e-13
725 3.40597e-13
735 3.87346e-13
745 2.00351e-13
755 2.53778e-13
765 3.94024e-13
775 2.0703e-13
785 2.13708e-13
795 2.8717e-13
805 2.471e-13
815 1.80316e-13
825 2.27065e-13
835 2.60457e-13
845 2.13708e-13
855 1.66959e-13
865 1.80316e-13
875 1.73638e-13
885 2.40422e-13
895 1.53603e-13
905 1.26889e-13
915 1.53603e-13
925 1.46924e-13
935 1.13532e-13
945 1.66959e-13
955 1.53603e-13
965 1.53603e-13
975 1.26889e-13
985 1.46924e-13
995 1.53603e-13
1005 8.01405e-14
1015 1.53603e-13
1025 1.46924e-13
1035 1.26889e-13
1045 1.13532e-13
1055 1.20211e-13
1065 1.53603e-13
1075 1.13532e-13
1085 7.34621e-14
1095 1.00176e-13
1105 1.13532e-13
1115 7.34621e-14
1125 6.67838e-14
1135 1.06854e-13
1145 8.01405e-14
1155 1.26889e-13
1165 9.34973e-14
1175 7.34621e-14
1185 1.00176e-13
1195 8.01405e-14
1205 8.01405e-14
1215 6.67838e-14
1225 8.01405e-14
1235 1.00176e-13
1245 8.68189e-14
1255 4.67486e-14
1265 6.67838e-14
1275 7.34621e-14
1285 1.00176e-13
1295 8.68189e-14
1305 6.67838e-14
1315 5.3427e-14
1325 7.34621e-14
1335 4.00703e-14
1345 7.34621e-14
1355 7.34621e-14
1365 8.01405e-14
1375 2.67135e-14
1385 9.34973e-14
1395 4.67486e-14
1405 6.67838e-14
1415 3.33919e-14
1425 3.33919e-14
1435 6.67838e-15
1445 4.67486e-14
1455 2.67135e-14
1465 4.67486e-14
1475 2.67135e-14
