unit: MeV
spectrum:
0.05 8.48754e-10
0.15 1.5673e-09
0.25 2.20311e-09
0.35 2.66901e-09
0.45 2.89699e-09
0.55 2.93544e-09
0.65 2.96025e-09
0.75 3.02556e-09
0.85 3.20795e-09
0.95 3.47331e-09
1.05 3.73197e-09
1.15 3.8926e-09
1.25 3.78218e-09
1.35 3.59391e-09
1.45 3.42184e-09
1.55 3.20735e-09
1.65 3.06854e-09
1.75 3.00279e-09
1.85 2.92035e-09
1.95 2.80334e-09
2.05 2.65195e-09
2.15 2.53871e-09
2.25 2.46962e-09
2.35 2.39353e-09
2.45 2.24982e-09
2.55 2.10053e-09
2.65 1.98146e-09
2.75 1.84059e-09
2.85 1.63576e-09
2.95 1.43537e-09
3.05 1.27407e-09
3.15 1.17302e-09
3.25 1.07049e-09
3.35 9.59559e-10
3.45 8.73591e-10
3.55 8.21947e-10
3.65 7.7342e-10
3.75 7.23638e-10
3.85 6.73201e-10
3.95 6.25486e-10
4.05 5.82622e-10
4.15 5.36993e-10
4.25 4.90721e-10
4.35 4.44398e-10
4.45 3.96675e-10
4.55 3.51084e-10
4.65 3.11251e-10
4.75 2.74055e-10
4.85 2.38045e-10
4.95 2.06613e-10
5.05 1.82901e-10
5.15 1.62348e-10
5.25 1.43694e-10
5.35 1.27133e-10
5.45 1.13155e-10
5.55 1.0114e-10
5.65 8.9677e-11
5.75 7.90885e-11
5.85 7.03302e-11
5.95 6.24741e-11
6.05 5.64183e-11
6.15 5.13157e-11
6.25 4.66983e-11
6.35 4.23502e-11
6.45 3.85255e-11
6.55 3.56495e-11
6.65 3.29036e-11
6.75 3.0248e-11
6.85 2.7545e-11
6.95 2.495e-11
7.05 2.2683e-11
7.15 2.03023e-11
7.25 1.79493e-11
7.35 1.57861e-11
7.45 1.38013e-11
7.55 1.1977e-11
7.65 1.02413e-11
7.75 8.60124e-12
7.85 7.0028e-12
7.95 5.44774e-12
8.05 3.93664e-12
8.15 2.47133e-12
8.25 1.08213e-12
8.35 5.96791e-13
8.45 5.15013e-13
8.55 4.3578e-13
8.65 3.59317e-13
8.75 2.86669e-13
8.85 2.17308e-13
8.95 1.51749e-13
9.05 9.35913e-14
9.15 3.87917e-14
9.25 1.21888e-14
9.35 1.09975e-14
9.45 9.86449e-15
9.55 8.77226e-15
9.65 7.72496e-15
9.75 6.72242e-15
9.85 5.76472e-15
9.95 4.84455e-15
