unit: MeV
spectrum:
0.05 8.53759e-10
0.15 1.54483e-09
0.25 1.97828e-09
0.35 2.21233e-09
0.45 2.35118e-09
0.55 2.48278e-09
0.65 2.58197e-09
0.75 2.61833e-09
0.85 2.60118e-09
0.95 2.57699e-09
1.05 2.54185e-09
1.15 2.49368e-09
1.25 2.4373e-09
1.35 2.37394e-09
1.45 2.30281e-09
1.55 2.20626e-09
1.65 2.09876e-09
1.75 2.00041e-09
1.85 1.89006e-09
1.95 1.78518e-09
2.05 1.70969e-09
2.15 1.63926e-09
2.25 1.56576e-09
2.35 1.50144e-09
2.45 1.44858e-09
2.55 1.39084e-09
2.65 1.33566e-09
2.75 1.27676e-09
2.85 1.21053e-09
2.95 1.14583e-09
3.05 1.08312e-09
3.15 1.01864e-09
3.25 9.51985e-10
3.35 8.85062e-10
3.45 8.18205e-10
3.55 7.53612e-10
3.65 6.92778e-10
3.75 6.33732e-10
3.85 5.78203e-10
3.95 5.27241e-10
4.05 4.79774e-10
4.15 4.35736e-10
4.25 3.93686e-10
4.35 3.5463e-10
4.45 3.16155e-10
4.55 2.81225e-10
4.65 2.52743e-10
4.75 2.28238e-10
4.85 2.05531e-10
4.95 1.84326e-10
5.05 1.64521e-10
5.15 1.46256e-10
5.25 1.29608e-10
5.35 1.15583e-10
5.45 1.02611e-10
5.55 9.06408e-11
5.65 7.96166e-11
5.75 7.00955e-11
5.85 6.2381e-11
5.95 5.59854e-11
6.05 5.02503e-11
6.15 4.49839e-11
6.25 4.03269e-11
6.35 3.62179e-11
6.45 3.2529e-11
6.55 2.91597e-11
6.65 2.61183e-11
6.75 2.33134e-11
6.85 2.05896e-11
6.95 1.78508e-11
7.05 1.50754e-11
7.15 1.23849e-11
7.25 9.90786e-12
7.35 8.59815e-12
7.45 7.68592e-12
7.55 6.86081e-12
7.65 6.11054e-12
7.75 5.43018e-12
7.85 4.81628e-12
7.95 4.2665e-12
8.05 3.77329e-12
8.15 3.32513e-12
8.25 2.95831e-12
8.35 2.65207e-12
8.45 2.37839e-12
8.55 2.13187e-12
8.65 1.91017e-12
8.75 1.7098e-12
8.85 1.53149e-12
8.95 1.37078e-12
9.05 1.22595e-12
9.15 1.09731e-12
9.25 9.80227e-13
9.35 8.77484e-13
9.45 7.8215e-13
9.55 6.99704e-13
9.65 6.25236e-13
9.75 5.58647e-13
9.85 4.99343e-13
9.95 4.46837e-13
