unit: MeV
spectrum:
0.05 1.83732e-09
0.15 3.44243e-09
0.25 4.3296e-09
0.35 5.00659e-09
0.45 5.412e-09
0.55 5.67965e-09
0.65 5.91581e-09
0.75 5.93155e-09
0.85 5.89613e-09
0.95 5.85677e-09
1.05 5.79773e-09
1.15 5.64029e-09
1.25 5.45136e-09
1.35 5.2703e-09
1.45 5.08925e-09
1.55 4.9633e-09
1.65 4.80586e-09
1.75 4.47917e-09
1.85 4.10525e-09
1.95 3.71165e-09
2.05 3.41448e-09
2.15 3.15825e-09
2.25 2.90713e-09
2.35 2.65916e-09
2.45 2.41395e-09
2.55 2.17346e-09
2.65 1.94045e-09
2.75 1.72633e-09
2.85 1.55511e-09
2.95 1.41893e-09
3.05 1.35438e-09
3.15 1.34769e-09
3.25 1.38311e-09
3.35 1.46222e-09
3.45 1.58463e-09
3.55 1.7468e-09
3.65 1.94438e-09
3.75 2.15378e-09
3.85 2.26989e-09
3.95 2.30492e-09
4.05 2.33562e-09
4.15 2.48834e-09
4.25 2.77645e-09
4.35 3.12007e-09
4.45 3.46132e-09
4.55 3.79391e-09
4.65 4.0895e-09
4.75 4.33747e-09
4.85 4.51853e-09
4.95 4.63267e-09
5.05 4.70746e-09
5.15 4.74682e-09
5.25 4.71926e-09
5.35 4.65629e-09
5.45 4.58938e-09
5.55 4.46342e-09
5.65 4.32566e-09
5.75 4.21546e-09
5.85 4.13674e-09
5.95 4.10131e-09
6.05 4.10918e-09
6.15 4.12886e-09
6.25 4.10918e-09
6.35 4.03834e-09
6.45 3.91947e-09
6.55 3.73841e-09
6.65 3.5176e-09
6.75 3.29364e-09
6.85 3.06693e-09
6.95 2.83825e-09
7.05 2.60799e-09
7.15 2.38207e-09
7.25 2.1707e-09
7.35 1.9621e-09
7.45 1.77474e-09
7.55 1.60628e-09
7.65 1.44372e-09
7.75 1.31029e-09
7.85 1.18474e-09
7.95 1.06233e-09
8.05 9.5015e-10
8.15 8.47814e-10
8.25 7.59648e-10
8.35 6.95491e-10
8.45 6.33696e-10
8.55 5.6521e-10
8.65 4.92394e-10
8.75 4.45162e-10
8.85 4.10525e-10
8.95 3.77384e-10
9.05 3.45699e-10
9.15 3.15234e-10
9.25 2.86147e-10
9.35 2.58438e-10
9.45 2.31948e-10
9.55 2.06443e-10
9.65 1.81922e-10
9.75 1.58463e-10
9.85 1.35989e-10
9.95 1.1438e-10
