unit: MeV
spectrum:
0.05 8.73311e-09
0.15 1.57348e-08
0.25 1.98921e-08
0.35 2.2505e-08
0.45 2.41001e-08
0.55 2.50229e-08
0.65 2.54605e-08
0.75 2.56824e-08
0.85 2.56698e-08
0.95 2.54319e-08
1.05 2.49468e-08
1.15 2.38591e-08
1.25 2.26382e-08
1.35 2.14649e-08
1.45 2.02663e-08
1.55 1.90454e-08
1.65 1.78182e-08
1.75 1.66354e-08
1.85 1.54241e-08
1.95 1.42571e-08
2.05 1.31821e-08
2.15 1.21325e-08
2.25 1.11114e-08
2.35 1.01125e-08
2.45 9.14535e-09
2.55 8.21306e-09
2.65 7.34101e-09
2.75 6.54508e-09
2.85 5.89184e-09
2.95 5.59059e-09
3.05 5.47326e-09
3.15 5.48911e-09
3.25 5.64449e-09
3.35 5.94257e-09
3.45 6.37701e-09
3.55 6.94463e-09
3.65 7.62324e-09
3.75 8.34941e-09
3.85 8.81556e-09
3.95 8.88215e-09
4.05 8.81239e-09
4.15 9.09778e-09
4.25 9.7859e-09
4.35 1.05755e-08
4.45 1.10131e-08
4.55 1.1308e-08
4.65 1.15363e-08
4.75 1.16981e-08
4.85 1.16949e-08
4.95 1.16188e-08
5.05 1.14571e-08
5.15 1.11368e-08
5.25 1.07721e-08
5.35 1.03757e-08
5.45 9.96982e-09
5.55 9.52905e-09
5.65 9.07241e-09
5.75 8.69189e-09
5.85 8.416e-09
5.95 8.22891e-09
6.05 8.10207e-09
6.15 8.01011e-09
6.25 7.7913e-09
6.35 7.45834e-09
6.45 6.98902e-09
6.55 6.38652e-09
6.65 5.72377e-09
6.75 5.10858e-09
6.85 4.64561e-09
6.95 4.27142e-09
7.05 3.90041e-09
7.15 3.53574e-09
7.25 3.19643e-09
7.35 2.86537e-09
7.45 2.54319e-09
7.55 2.2949e-09
7.65 2.07102e-09
7.75 1.85317e-09
7.85 1.64198e-09
7.95 1.44949e-09
8.05 1.33058e-09
8.15 1.22625e-09
8.25 1.12509e-09
8.35 1.02869e-09
8.45 9.3483e-10
8.55 8.33673e-10
8.65 7.26491e-10
8.75 6.23748e-10
8.85 5.28933e-10
8.95 4.38875e-10
9.05 3.52939e-10
9.15 2.70206e-10
9.25 1.91786e-10
9.35 1.2104e-10
9.45 5.53034e-11
9.55 9.14218e-12
9.65 6.38018e-12
9.75 5.70157e-12
9.85 5.0959e-12
9.95 4.55999e-12
