unit: MeV
spectrum:
0.05 8.87562e-16
0.15 1.36161e-15
0.25 1.50925e-15
0.35 1.65263e-15
0.45 1.74751e-15
0.55 1.69582e-15
0.65 1.64236e-15
0.75 1.57049e-15
0.85 1.50181e-15
0.95 1.43879e-15
1.05 1.36091e-15
1.15 1.26213e-15
1.25 1.16512e-15
1.35 1.07201e-15
1.45 9.70052e-16
1.55 8.6809e-16
1.65 7.5834e-16
1.75 6.47527e-16
1.85 5.96547e-16
1.95 5.4769e-16
2.05 5.11224e-16
2.15 4.79715e-16
2.25 4.48915e-16
2.35 4.18114e-16
2.45 3.88021e-16
2.55 3.5899e-16
2.65 3.29322e-16
2.75 3.02168e-16
2.85 2.79651e-16
2.95 2.60994e-16
3.05 2.50904e-16
3.15 2.47646e-16
3.25 2.49771e-16
3.35 2.5717e-16
3.45 2.6942e-16
3.55 2.86449e-16
3.65 3.08009e-16
3.75 3.3088e-16
3.85 3.41784e-16
3.95 3.42492e-16
4.05 3.4274e-16
4.15 3.5899e-16
4.25 3.92269e-16
4.35 4.33337e-16
4.45 4.74405e-16
4.55 5.14411e-16
4.65 5.49814e-16
4.75 5.79553e-16
4.85 6.00795e-16
4.95 6.1354e-16
5.05 6.21329e-16
5.15 6.24161e-16
5.25 6.19205e-16
5.35 6.1e-16
5.45 6.00441e-16
5.55 5.83093e-16
5.65 5.6433e-16
5.75 5.48752e-16
5.85 5.38485e-16
5.95 5.33175e-16
6.05 5.33883e-16
6.15 5.35653e-16
6.25 5.32467e-16
6.35 5.22908e-16
6.45 5.0733e-16
6.55 4.8361e-16
6.65 4.54579e-16
6.75 4.25548e-16
6.85 3.9581e-16
6.95 3.66071e-16
7.05 3.36226e-16
7.15 3.06841e-16
7.25 2.79403e-16
7.35 2.52461e-16
7.45 2.28245e-16
7.55 2.06508e-16
7.65 1.85549e-16
7.75 1.68414e-16
7.85 1.5227e-16
7.95 1.36551e-16
8.05 1.22106e-16
8.15 1.08936e-16
8.25 9.76071e-17
8.35 8.93935e-17
8.45 8.14277e-17
8.55 7.26477e-17
8.65 6.32658e-17
8.75 5.72118e-17
8.85 5.27156e-17
8.95 4.84672e-17
9.05 4.43958e-17
9.15 4.05014e-17
9.25 3.67487e-17
9.35 3.32013e-17
9.45 2.97955e-17
9.55 2.65207e-17
9.65 2.33698e-17
9.75 2.03569e-17
9.85 1.74716e-17
9.95 1.46924e-17
