unit: MeV
spectrum:
0.05 1.86936e-15
0.15 2.66409e-15
0.25 2.772e-15
0.35 2.77425e-15
0.45 2.71355e-15
0.55 2.68207e-15
0.65 2.73153e-15
0.75 2.75626e-15
0.85 2.75851e-15
0.95 2.73828e-15
1.05 2.68882e-15
1.15 2.5809e-15
1.25 2.45501e-15
1.35 2.33585e-15
1.45 2.21603e-15
1.55 2.09013e-15
1.65 1.96625e-15
1.75 1.84755e-15
1.85 1.7275e-15
1.95 1.61239e-15
2.05 1.50628e-15
2.15 1.40084e-15
2.25 1.2963e-15
2.35 1.19401e-15
2.45 1.09374e-15
2.55 9.9819e-16
2.65 9.06014e-16
2.75 8.21708e-16
2.85 7.48642e-16
2.95 7.09524e-16
3.05 6.88391e-16
3.15 6.80747e-16
3.25 6.87042e-16
3.35 7.08175e-16
3.45 7.44146e-16
3.55 7.9428e-16
3.65 8.56555e-16
3.75 9.23775e-16
3.85 9.65591e-16
3.95 9.6694e-16
4.05 9.5435e-16
4.15 9.78181e-16
4.25 1.04293e-15
4.35 1.11824e-15
4.45 1.15736e-15
4.55 1.18276e-15
4.65 1.2021e-15
4.75 1.21536e-15
4.85 1.21222e-15
4.95 1.20187e-15
5.05 1.18321e-15
5.15 1.14882e-15
5.25 1.1097e-15
5.35 1.06766e-15
5.45 1.02494e-15
5.55 9.78406e-16
5.65 9.30295e-16
5.75 8.90502e-16
5.85 8.61051e-16
5.95 8.40368e-16
6.05 8.26204e-16
6.15 8.15638e-16
6.25 7.92706e-16
6.35 7.58085e-16
6.45 7.09974e-16
6.55 6.48149e-16
6.65 5.80704e-16
6.75 5.18204e-16
6.85 4.71217e-16
6.95 4.33223e-16
7.05 3.95454e-16
7.15 3.58584e-16
7.25 3.24412e-16
7.35 2.90689e-16
7.45 2.57866e-16
7.55 2.32686e-16
7.65 2.10024e-16
7.75 1.87925e-16
7.85 1.665e-16
7.95 1.46963e-16
8.05 1.34913e-16
8.15 1.24347e-16
8.25 1.14072e-16
8.35 1.04293e-16
8.45 9.47831e-17
8.55 8.45089e-17
8.65 7.36502e-17
8.75 6.32412e-17
8.85 5.3619e-17
8.95 4.45363e-17
9.05 3.57909e-17
9.15 2.74277e-17
9.25 1.94737e-17
9.35 1.23043e-17
9.45 5.64292e-18
9.55 9.64692e-19
9.65 6.80972e-19
9.75 6.08356e-19
9.85 5.43834e-19
9.95 4.86505e-19
