unit: MeV
spectrum:
0.05 0.644775
0.15 1.31406
0.25 1.79485
0.35 2.17004
0.45 2.412
0.55 2.54924
0.65 2.65129
0.75 2.71233
0.85 2.73283
0.95 2.74932
1.05 2.77739
1.15 2.80591
1.25 2.83175
1.35 2.85759
1.45 2.87943
1.55 2.90349
1.65 2.94627
1.75 2.99528
1.85 3.00954
1.95 2.95919
2.05 2.87408
2.15 2.79298
2.25 2.70698
2.35 2.61697
2.45 2.51716
2.55 2.41958
2.65 2.33937
2.75 2.27832
2.85 2.19901
2.95 2.11524
3.05 2.03637
3.15 1.95037
3.25 1.85813
3.35 1.76901
3.45 1.68969
3.55 1.6135
3.65 1.54443
3.75 1.47536
3.85 1.40407
3.95 1.33277
4.05 1.27351
4.15 1.2285
4.25 1.19063
4.35 1.15543
4.45 1.10864
4.55 1.06809
4.65 1.02799
4.75 0.993229
4.85 0.963374
4.95 0.929064
5.05 0.892525
5.15 0.854204
5.25 0.811872
5.35 0.769541
5.45 0.729883
5.55 0.688443
5.65 0.646111
5.75 0.60779
5.85 0.581055
5.95 0.556547
6.05 0.532485
6.15 0.507977
6.25 0.482133
6.35 0.453169
6.45 0.427548
6.55 0.403887
6.65 0.381295
6.75 0.359283
6.85 0.337716
6.95 0.315659
7.05 0.295563
7.15 0.273238
7.25 0.251137
7.35 0.229882
7.45 0.210009
7.55 0.193388
7.65 0.177346
7.75 0.162553
7.85 0.147937
7.95 0.133545
8.05 0.119998
8.15 0.106898
8.25 0.0945996
8.35 0.083638
8.45 0.072721
8.55 0.0630516
8.65 0.0556993
8.75 0.0489708
8.85 0.0431736
8.95 0.0379156
9.05 0.0328269
9.15 0.0278897
9.25 0.0231843
9.35 0.01937
9.45 0.0174227
9.55 0.0160191
9.65 0.0146021
9.75 0.0131629
9.85 0.0117548
9.95 0.0103868
