unit: MeV
spectrum:
0.05 10.5843
0.15 19.5255
0.25 25.2082
0.35 29.1133
0.45 31.7866
0.55 33.5782
0.65 34.7959
0.75 35.5238
0.85 35.8737
0.95 35.9577
1.05 35.7057
1.15 35.1039
1.25 34.2781
1.35 33.4103
1.45 32.4585
1.55 31.5907
1.65 30.8768
1.75 30.191
1.85 29.1972
1.95 28.2175
2.05 27.0277
2.15 25.964
2.25 24.9002
2.35 23.7805
2.45 22.6048
2.55 21.569
2.65 20.5192
2.75 19.5115
2.85 18.4897
2.95 17.44
3.05 16.4602
3.15 15.5644
3.25 14.7386
3.35 14.0387
3.45 13.4145
3.55 12.7888
3.65 12.2276
3.75 11.7699
3.85 11.2968
3.95 10.8027
4.05 10.3268
4.15 9.9321
4.25 9.56538
4.35 9.18327
4.45 8.636
4.55 8.07753
4.65 7.61703
4.75 7.23072
4.85 6.82622
4.95 6.42591
5.05 6.055
5.15 5.64069
5.25 5.22359
5.35 4.83308
5.45 4.54195
5.55 4.28441
5.65 4.02827
5.75 3.80712
5.85 3.65035
5.95 3.53418
6.05 3.40961
6.15 3.27384
6.25 3.14227
6.35 2.96731
6.45 2.76576
6.55 2.54741
6.65 2.32486
6.75 2.12051
6.85 1.94975
6.95 1.79019
7.05 1.62782
7.15 1.46546
7.25 1.308
7.35 1.15711
7.45 1.02106
7.55 0.924766
7.65 0.837286
7.75 0.750506
7.85 0.664006
7.95 0.575547
8.05 0.499684
8.15 0.433759
8.25 0.370074
8.35 0.319966
8.45 0.286654
8.55 0.255441
8.65 0.229127
8.75 0.203793
8.85 0.179718
8.95 0.156764
9.05 0.134705
9.15 0.113598
9.25 0.0937223
9.35 0.0760444
9.45 0.0601861
9.55 0.047449
9.65 0.0398908
9.75 0.0320806
9.85 0.0243544
9.95 0.017202
