unit: MeV
spectrum:
0.05 3.48658e-09
0.15 6.58773e-09
0.25 9.01106e-09
0.35 1.11243e-08
0.45 1.13635e-08
0.55 1.11021e-08
0.65 1.06547e-08
0.75 1.05483e-08
0.85 1.13724e-08
0.95 1.26926e-08
1.05 1.40482e-08
1.15 1.4921e-08
1.25 1.45621e-08
1.35 1.3809e-08
1.45 1.30824e-08
1.55 1.21831e-08
1.65 1.1616e-08
1.75 1.13059e-08
1.85 1.0916e-08
1.95 1.03977e-08
2.05 9.72875e-09
2.15 9.21485e-09
2.25 8.81613e-09
2.35 8.39083e-09
2.45 7.6687e-09
2.55 6.87126e-09
2.65 6.23331e-09
2.75 5.53334e-09
2.85 4.58084e-09
2.95 3.66999e-09
3.05 2.93723e-09
3.15 2.52478e-09
3.25 2.13758e-09
3.35 1.70918e-09
3.45 1.40305e-09
3.55 1.29584e-09
3.65 1.2378e-09
3.75 1.16913e-09
3.85 1.0854e-09
3.95 9.98127e-10
4.05 9.34775e-10
4.15 8.49272e-10
4.25 7.56238e-10
4.35 6.60102e-10
4.45 5.62637e-10
4.55 4.76691e-10
4.65 4.15244e-10
4.75 3.54417e-10
4.85 2.93324e-10
4.95 2.38434e-10
5.05 2.24612e-10
5.15 2.1934e-10
5.25 2.12872e-10
5.35 2.06005e-10
5.45 1.99182e-10
5.55 1.90411e-10
5.65 1.82126e-10
5.75 1.75082e-10
5.85 1.69456e-10
5.95 1.66532e-10
6.05 1.65779e-10
6.15 1.65557e-10
6.25 1.64937e-10
6.35 1.62279e-10
6.45 1.56652e-10
6.55 1.48722e-10
6.65 1.3933e-10
6.75 1.29805e-10
6.85 1.20192e-10
6.95 1.10534e-10
7.05 1.0092e-10
7.15 9.1351e-11
7.25 8.1959e-11
7.35 7.2877e-11
7.45 6.49026e-11
7.55 5.86117e-11
7.65 5.25866e-11
7.75 4.75805e-11
7.85 4.28269e-11
7.95 3.81929e-11
8.05 3.39133e-11
8.15 2.99793e-11
8.25 2.65414e-11
8.35 2.41491e-11
8.45 2.19783e-11
8.55 1.95993e-11
8.65 1.70519e-11
8.75 1.54127e-11
8.85 1.41988e-11
8.95 1.30514e-11
9.05 1.19483e-11
9.15 1.08895e-11
9.25 9.87938e-12
9.35 8.91802e-12
9.45 8.00097e-12
9.55 7.11492e-12
9.65 6.26432e-12
9.75 5.45359e-12
9.85 4.67388e-12
9.95 3.93093e-12
