unit: MeV
spectrum:
0.05 1.03384e-09
0.15 1.81134e-09
0.25 2.23246e-09
0.35 2.50579e-09
0.45 2.68497e-09
0.55 2.79548e-09
0.65 2.85368e-09
0.75 2.87068e-09
0.85 2.85564e-09
0.95 2.81379e-09
1.05 2.75232e-09
1.15 2.6745e-09
1.25 2.58426e-09
1.35 2.48487e-09
1.45 2.37959e-09
1.55 2.26908e-09
1.65 2.15726e-09
1.75 2.04413e-09
1.85 1.93101e-09
1.95 1.81984e-09
2.05 1.71064e-09
2.15 1.60405e-09
2.25 1.50138e-09
2.35 1.40264e-09
2.45 1.30783e-09
2.55 1.21759e-09
2.65 1.13127e-09
2.75 1.05018e-09
2.85 9.73023e-10
2.95 9.00438e-10
3.05 8.31777e-10
3.15 7.67694e-10
3.25 7.08188e-10
3.35 6.52017e-10
3.45 5.99834e-10
3.55 5.51249e-10
3.65 5.06063e-10
3.75 4.64213e-10
3.85 4.2537e-10
3.95 3.89536e-10
4.05 3.56317e-10
4.15 3.25714e-10
4.25 2.9753e-10
4.35 2.7157e-10
4.45 2.47702e-10
4.55 2.25796e-10
4.65 2.05656e-10
4.75 1.8715e-10
4.85 1.70279e-10
4.95 1.54781e-10
5.05 1.40657e-10
5.15 1.27709e-10
5.25 1.15873e-10
5.35 1.05149e-10
5.45 9.53405e-11
5.55 8.63819e-11
5.65 7.8208e-11
5.75 7.08188e-11
5.85 6.40573e-11
5.95 5.79302e-11
6.05 5.23719e-11
6.15 4.73171e-11
6.25 4.27332e-11
6.35 3.85809e-11
6.45 3.48209e-11
6.55 3.14074e-11
6.65 2.8321e-11
6.75 2.55288e-11
6.85 2.30047e-11
6.95 2.07225e-11
7.05 1.86561e-11
7.15 1.67925e-11
7.25 1.51119e-11
7.35 1.35883e-11
7.45 1.22216e-11
7.55 1.09857e-11
7.65 9.87409e-12
7.75 8.86706e-12
7.85 7.96466e-12
7.95 7.14727e-12
8.05 6.4175e-12
8.15 5.7564e-12
8.25 5.16657e-12
8.35 4.63101e-12
8.45 4.153e-12
8.55 3.72207e-12
8.65 3.33561e-12
8.75 2.98642e-12
8.85 2.67647e-12
8.95 2.39594e-12
9.05 2.14418e-12
9.15 1.92054e-12
9.25 1.71652e-12
9.35 1.538e-12
9.45 1.37256e-12
9.55 1.22936e-12
9.65 1.09857e-12
9.75 9.81523e-13
9.85 8.76897e-13
9.95 7.84696e-13
