unit: MeV
spectrum:
0.05 3.38477e-09
0.15 6.39537e-09
0.25 8.74794e-09
0.35 1.07995e-08
0.45 1.10317e-08
0.55 1.07779e-08
0.65 1.03436e-08
0.75 1.02403e-08
0.85 1.10403e-08
0.95 1.2322e-08
1.05 1.3638e-08
1.15 1.44853e-08
1.25 1.41369e-08
1.35 1.34058e-08
1.45 1.27004e-08
1.55 1.18274e-08
1.65 1.12768e-08
1.75 1.09758e-08
1.85 1.05973e-08
1.95 1.00941e-08
2.05 9.44468e-09
2.15 8.94578e-09
2.25 8.55871e-09
2.35 8.14582e-09
2.45 7.44478e-09
2.55 6.67063e-09
2.65 6.05131e-09
2.75 5.37177e-09
2.85 4.44709e-09
2.95 3.56283e-09
3.05 2.85147e-09
3.15 2.45106e-09
3.25 2.07516e-09
3.35 1.65927e-09
3.45 1.36208e-09
3.55 1.258e-09
3.65 1.20166e-09
3.75 1.135e-09
3.85 1.05371e-09
3.95 9.68983e-10
4.05 9.07481e-10
4.15 8.24474e-10
4.25 7.34156e-10
4.35 6.40828e-10
4.45 5.46209e-10
4.55 4.62772e-10
4.65 4.03119e-10
4.75 3.44069e-10
4.85 2.8476e-10
4.95 2.31472e-10
5.05 2.18053e-10
5.15 2.12935e-10
5.25 2.06656e-10
5.35 1.9999e-10
5.45 1.93367e-10
5.55 1.84851e-10
5.65 1.76808e-10
5.75 1.6997e-10
5.85 1.64508e-10
5.95 1.61669e-10
6.05 1.60938e-10
6.15 1.60723e-10
6.25 1.60121e-10
6.35 1.5754e-10
6.45 1.52078e-10
6.55 1.4438e-10
6.65 1.35262e-10
6.75 1.26015e-10
6.85 1.16682e-10
6.95 1.07306e-10
7.05 9.79735e-11
7.15 8.86837e-11
7.25 7.95659e-11
7.35 7.07491e-11
7.45 6.30076e-11
7.55 5.69003e-11
7.65 5.10512e-11
7.75 4.61912e-11
7.85 4.15764e-11
7.95 3.70777e-11
8.05 3.29231e-11
8.15 2.91039e-11
8.25 2.57664e-11
8.35 2.3444e-11
8.45 2.13366e-11
8.55 1.9027e-11
8.65 1.6554e-11
8.75 1.49627e-11
8.85 1.37842e-11
8.95 1.26703e-11
9.05 1.15994e-11
9.15 1.05715e-11
9.25 9.59091e-12
9.35 8.65763e-12
9.45 7.76735e-12
9.55 6.90718e-12
9.65 6.08141e-12
9.75 5.29436e-12
9.85 4.5374e-12
9.95 3.81615e-12
