unit: MeV
spectrum:
0.05 2.00324e-09
0.15 3.50978e-09
0.25 4.32577e-09
0.35 4.85541e-09
0.45 5.20259e-09
0.55 5.41672e-09
0.65 5.52949e-09
0.75 5.56243e-09
0.85 5.53329e-09
0.95 5.4522e-09
1.05 5.33309e-09
1.15 5.18231e-09
1.25 5.00746e-09
1.35 4.81486e-09
1.45 4.61086e-09
1.55 4.39673e-09
1.65 4.18006e-09
1.75 3.96086e-09
1.85 3.74165e-09
1.95 3.52625e-09
2.05 3.31465e-09
2.15 3.10812e-09
2.25 2.90919e-09
2.35 2.71786e-09
2.45 2.53414e-09
2.55 2.35928e-09
2.65 2.19203e-09
2.75 2.03491e-09
2.85 1.8854e-09
2.95 1.74475e-09
3.05 1.61171e-09
3.15 1.48754e-09
3.25 1.37224e-09
3.35 1.26339e-09
3.45 1.16228e-09
3.55 1.06814e-09
3.65 9.80585e-10
3.75 8.99492e-10
3.85 8.24228e-10
3.95 7.54793e-10
4.05 6.90426e-10
4.15 6.31127e-10
4.25 5.76516e-10
4.35 5.26214e-10
4.45 4.79966e-10
4.55 4.37519e-10
4.65 3.98493e-10
4.75 3.62635e-10
4.85 3.29945e-10
4.95 2.99915e-10
5.05 2.72547e-10
5.15 2.47459e-10
5.25 2.24525e-10
5.35 2.03745e-10
5.45 1.84739e-10
5.55 1.6738e-10
5.65 1.51541e-10
5.75 1.37224e-10
5.85 1.24122e-10
5.95 1.1225e-10
6.05 1.0148e-10
6.15 9.16851e-11
6.25 8.2803e-11
6.35 7.47571e-11
6.45 6.74714e-11
6.55 6.08573e-11
6.65 5.48768e-11
6.75 4.94664e-11
6.85 4.45755e-11
6.95 4.01534e-11
7.05 3.61495e-11
7.15 3.25383e-11
7.25 2.9282e-11
7.35 2.63297e-11
7.45 2.36815e-11
7.55 2.12868e-11
7.65 1.91327e-11
7.75 1.71815e-11
7.85 1.54329e-11
7.95 1.38491e-11
8.05 1.2435e-11
8.15 1.1154e-11
8.25 1.00111e-11
8.35 8.97338e-12
8.45 8.04715e-12
8.55 7.21216e-12
8.65 6.46332e-12
8.75 5.7867e-12
8.85 5.18611e-12
8.95 4.64254e-12
9.05 4.15472e-12
9.15 3.72138e-12
9.25 3.32606e-12
9.35 2.98015e-12
9.45 2.65958e-12
9.55 2.38209e-12
9.65 2.12868e-12
9.75 1.90187e-12
9.85 1.69914e-12
9.95 1.52048e-12
