unit: MeV
spectrum:
0.05 1.09531e-09
0.15 2.51865e-09
0.25 3.81086e-09
0.35 4.83784e-09
0.45 5.61232e-09
0.55 6.1725e-09
0.65 6.62233e-09
0.75 6.94273e-09
0.85 7.14431e-09
0.95 7.28011e-09
1.05 7.37984e-09
1.15 7.41803e-09
1.25 7.39681e-09
1.35 7.34801e-09
1.45 7.25677e-09
1.55 7.1146e-09
1.65 6.93424e-09
1.75 6.7263e-09
1.85 6.53958e-09
1.95 6.29981e-09
2.05 6.01123e-09
2.15 5.6972e-09
2.25 5.37043e-09
2.35 5.06913e-09
2.45 4.75297e-09
2.55 4.46015e-09
2.65 4.16734e-09
2.75 3.85967e-09
2.85 3.54987e-09
2.95 3.24645e-09
3.05 2.97061e-09
3.15 2.73084e-09
3.25 2.49955e-09
3.35 2.27039e-09
3.45 2.07348e-09
3.55 1.88931e-09
3.65 1.71043e-09
3.75 1.54153e-09
3.85 1.39258e-09
3.95 1.26166e-09
4.05 1.1422e-09
4.15 1.02062e-09
4.25 9.10491e-10
4.35 8.12036e-10
4.45 7.2886e-10
4.55 6.55867e-10
4.65 5.85209e-10
4.75 5.27283e-10
4.85 4.73387e-10
4.95 4.20341e-10
5.05 3.6878e-10
5.15 3.18067e-10
5.25 2.68628e-10
5.35 2.22371e-10
5.45 1.89864e-10
5.55 1.60116e-10
5.65 1.32553e-10
5.75 1.11716e-10
5.85 9.38499e-11
5.95 7.66841e-11
6.05 6.02184e-11
6.15 4.43257e-11
6.25 2.86876e-11
6.35 2.02999e-11
6.45 1.96866e-11
6.55 1.877e-11
6.65 1.76581e-11
6.75 1.65272e-11
6.85 1.53856e-11
6.95 1.42334e-11
7.05 1.30749e-11
7.15 1.19376e-11
7.25 1.08745e-11
7.35 9.82634e-12
7.45 8.88424e-12
7.55 8.03973e-12
7.65 7.22494e-12
7.75 6.55443e-12
7.85 5.92424e-12
7.95 5.31102e-12
8.05 4.74873e-12
8.15 4.23524e-12
8.25 3.79389e-12
8.35 3.47349e-12
8.45 3.1637e-12
8.55 2.82208e-12
8.65 2.45712e-12
8.75 2.22159e-12
8.85 2.04717e-12
8.95 1.8823e-12
9.05 1.7238e-12
9.15 1.57166e-12
9.25 1.42653e-12
9.35 1.28818e-12
9.45 1.15578e-12
9.55 1.02868e-12
9.65 9.06247e-13
9.75 7.89333e-13
9.85 6.77298e-13
9.95 5.69508e-13
