unit: MeV
spectrum:
0.05 1.4051e-09
0.15 3.28803e-09
0.25 4.9801e-09
0.35 6.46507e-09
0.45 7.6793e-09
0.55 8.71214e-09
0.65 9.53787e-09
0.75 1.01213e-08
0.85 1.06073e-08
0.95 1.08617e-08
1.05 1.09321e-08
1.15 1.08969e-08
1.25 1.07846e-08
1.35 1.06438e-08
1.45 1.03514e-08
1.55 9.94261e-09
1.65 9.50267e-09
1.75 8.94632e-09
1.85 8.40486e-09
1.95 7.89318e-09
2.05 7.39232e-09
2.15 6.87252e-09
2.25 6.33241e-09
2.35 5.76929e-09
2.45 5.24813e-09
2.55 4.8312e-09
2.65 4.41969e-09
2.75 4.03119e-09
2.85 3.63457e-09
2.95 3.25419e-09
3.05 2.90901e-09
3.15 2.61527e-09
3.25 2.40816e-09
3.35 2.17668e-09
3.45 1.93573e-09
3.55 1.70155e-09
3.65 1.49308e-09
3.75 1.34093e-09
3.85 1.19514e-09
3.95 1.05098e-09
4.05 9.10064e-10
4.15 7.76052e-10
4.25 6.47454e-10
4.35 5.44441e-10
4.45 4.63086e-10
4.55 3.85657e-10
4.65 3.20411e-10
4.75 2.71679e-10
4.85 2.24301e-10
4.95 1.77464e-10
5.05 1.32997e-10
5.15 9.06409e-11
5.25 5.29821e-11
5.35 4.4982e-11
5.45 4.30057e-11
5.55 4.09211e-11
5.65 3.88094e-11
5.75 3.70361e-11
5.85 3.56959e-11
5.95 3.47213e-11
6.05 3.40309e-11
6.15 3.34895e-11
6.25 3.24607e-11
6.35 3.09852e-11
6.45 2.89818e-11
6.55 2.6464e-11
6.65 2.37161e-11
6.75 2.11712e-11
6.85 1.92355e-11
6.95 1.76788e-11
7.05 1.61221e-11
7.15 1.4606e-11
7.25 1.32076e-11
7.35 1.18323e-11
7.45 1.05057e-11
7.55 9.4756e-12
7.65 8.54835e-12
7.75 7.64952e-12
7.85 6.77912e-12
7.95 5.98587e-12
8.05 5.48908e-12
8.15 5.0532e-12
8.25 4.63086e-12
8.35 4.23018e-12
8.45 3.84168e-12
8.55 3.42611e-12
8.65 2.98888e-12
8.75 2.5706e-12
8.85 2.18345e-12
8.95 1.81796e-12
9.05 1.46872e-12
9.15 1.13423e-12
9.25 8.17203e-13
9.35 5.3131e-13
9.45 2.65858e-13
9.55 7.8485e-14
9.65 6.30804e-14
9.75 5.63528e-14
9.85 5.03696e-14
9.95 4.50633e-14
