unit: MeV
spectrum:
0.05 1.039e-11
0.15 1.916e-11
0.25 2.879e-11
0.35 3.74e-11
0.45 5.919e-11
0.55 7.5e-11
0.65 5.769e-11
0.75 4.047e-11
0.85 4.744e-11
0.95 5.198e-11
1.05 5.44e-11
1.15 5.421e-11
1.25 4.966e-11
1.35 4.349e-11
1.45 3.711e-11
1.55 3.085e-11
1.65 2.621e-11
1.75 2.435e-11
1.85 2.356e-11
1.95 2.339e-11
2.05 2.394e-11
2.15 2.382e-11
2.25 2.287e-11
2.35 2.181e-11
2.45 2.147e-11
2.55 2.07e-11
2.65 1.948e-11
2.75 1.79e-11
2.85 1.658e-11
2.95 1.541e-11
3.05 1.433e-11
3.15 1.324e-11
3.25 1.188e-11
3.35 1.031e-11
3.45 9.141e-12
3.55 8.187e-12
3.65 7.424e-12
3.75 6.736e-12
3.85 6.053e-12
3.95 4.957e-12
4.05 4.11e-12
4.15 3.694e-12
4.25 3.285e-12
4.35 2.823e-12
4.45 2.335e-12
4.55 1.827e-12
4.65 1.3e-12
4.75 7.742e-13
4.85 5.681e-13
4.95 5.111e-13
5.05 4.511e-13
5.15 3.942e-13
5.25 3.535e-13
5.35 3.261e-13
5.45 2.837e-13
5.55 2.349e-13
5.65 1.846e-13
5.75 1.498e-13
5.85 1.38e-13
5.95 1.253e-13
6.05 1.111e-13
6.15 9.225e-14
6.25 7.022e-14
6.35 4.706e-14
6.45 3.387e-14
6.55 3.046e-14
6.65 2.681e-14
6.75 2.289e-14
6.85 1.868e-14
6.95 1.43e-14
7.05 9.663e-15
7.15 4.862e-15
7.25 2.3e-15
7.35 2.054e-15
7.45 1.817e-15
7.55 1.639e-15
7.65 1.48e-15
7.75 1.323e-15
7.85 1.169e-15
7.95 1.03e-15
8.05 9.495e-16
8.15 8.801e-16
8.25 8.123e-16
8.35 7.475e-16
8.45 6.841e-16
8.55 6.144e-16
8.65 5.387e-16
8.75 4.649e-16
8.85 3.953e-16
8.95 3.293e-16
9.05 2.659e-16
9.15 2.051e-16
9.25 1.47e-16
9.35 9.161e-17
9.45 3.868e-17
9.55 1.635e-18
9.65 0
9.75 0
9.85 0
9.95 0
