unit: MeV
spectrum:
0.05 4.626e-16
0.15 1.16e-15
0.25 8.697e-16
0.35 2.869e-16
0.45 1.787e-12
0.55 3.234e-12
0.65 1.873e-12
0.75 3.74e-16
0.85 5.356e-16
0.95 5.337e-16
1.05 4.388e-16
1.15 3.187e-16
1.25 3.138e-16
1.35 3.177e-16
1.45 3.137e-16
1.55 3.079e-16
1.65 3.171e-16
1.75 3.172e-16
1.85 3.123e-16
1.95 2.972e-16
2.05 2.623e-16
2.15 2.37e-16
2.25 2.3e-16
2.35 2.145e-16
2.45 1.916e-16
2.55 1.74e-16
2.65 1.467e-16
2.75 1.21e-16
2.85 1.044e-16
2.95 9.82e-17
3.05 9.649e-17
3.15 1.039e-16
3.25 1.18e-16
3.35 1.367e-16
3.45 1.593e-16
3.55 1.847e-16
3.65 2.147e-16
3.75 2.473e-16
3.85 2.698e-16
3.95 2.769e-16
4.05 2.726e-16
4.15 2.665e-16
4.25 2.595e-16
4.35 2.514e-16
4.45 2.425e-16
4.55 2.328e-16
4.65 2.218e-16
4.75 2.097e-16
4.85 1.963e-16
4.95 1.817e-16
5.05 1.658e-16
5.15 1.487e-16
5.25 1.304e-16
5.35 1.111e-16
5.45 9.065e-17
5.55 6.929e-17
5.65 4.788e-17
5.75 2.976e-17
5.85 1.602e-17
5.95 7.039e-18
6.05 3.162e-18
6.15 2.599e-18
6.25 2.325e-18
6.35 2.078e-18
6.45 1.857e-18
6.55 1.659e-18
6.65 1.481e-18
6.75 1.322e-18
6.85 1.179e-18
6.95 1.052e-18
7.05 9.372e-19
7.15 8.352e-19
7.25 7.439e-19
7.35 6.625e-19
7.45 5.895e-19
7.55 5.247e-19
7.65 4.665e-19
7.75 4.15e-19
7.85 3.687e-19
7.95 3.278e-19
8.05 2.911e-19
8.15 2.586e-19
8.25 2.295e-19
8.35 2.037e-19
8.45 1.808e-19
8.55 1.603e-19
8.65 1.422e-19
8.75 1.261e-19
8.85 1.115e-19
8.95 9.895e-20
9.05 8.767e-20
9.15 7.76e-20
9.25 6.881e-20
9.35 6.072e-20
9.45 5.391e-20
9.55 4.749e-20
9.65 4.223e-20
9.75 3.725e-20
9.85 3.282e-20
9.95 2.907e-20
