unit: MeV
spectrum:
0.05 9.023e-12
0.15 1.58e-11
0.25 1.947e-11
0.35 2.185e-11
0.45 3.961e-11
0.55 5.371e-11
0.65 4.19e-11
0.75 2.509e-11
0.85 2.494e-11
0.95 2.454e-11
1.05 2.397e-11
1.15 2.328e-11
1.25 2.25e-11
1.35 2.165e-11
1.45 2.074e-11
1.55 1.978e-11
1.65 1.879e-11
1.75 1.78e-11
1.85 1.681e-11
1.95 1.583e-11
2.05 1.488e-11
2.15 1.396e-11
2.25 1.307e-11
2.35 1.221e-11
2.45 1.138e-11
2.55 1.059e-11
2.65 9.845e-12
2.75 9.135e-12
2.85 8.465e-12
2.95 7.833e-12
3.05 7.239e-12
3.15 6.682e-12
3.25 6.16e-12
3.35 5.672e-12
3.45 5.218e-12
3.55 4.795e-12
3.65 4.403e-12
3.75 4.039e-12
3.85 3.702e-12
3.95 3.39e-12
4.05 3.101e-12
4.15 2.835e-12
4.25 2.59e-12
4.35 2.364e-12
4.45 2.157e-12
4.55 1.966e-12
4.65 1.791e-12
4.75 1.63e-12
4.85 1.483e-12
4.95 1.348e-12
5.05 1.225e-12
5.15 1.112e-12
5.25 1.01e-12
5.35 9.158e-13
5.45 8.302e-13
5.55 7.522e-13
5.65 6.812e-13
5.75 6.166e-13
5.85 5.578e-13
5.95 5.045e-13
6.05 4.561e-13
6.15 4.122e-13
6.25 3.722e-13
6.35 3.361e-13
6.45 3.032e-13
6.55 2.734e-13
6.65 2.464e-13
6.75 2.22e-13
6.85 2e-13
6.95 1.802e-13
7.05 1.622e-13
7.15 1.46e-13
7.25 1.314e-13
7.35 1.182e-13
7.45 1.062e-13
7.55 9.55e-14
7.65 8.583e-14
7.75 7.709e-14
7.85 6.924e-14
7.95 6.216e-14
8.05 5.579e-14
8.15 5.004e-14
8.25 4.491e-14
8.35 4.026e-14
8.45 3.61e-14
8.55 3.236e-14
8.65 2.9e-14
8.75 2.596e-14
8.85 2.327e-14
8.95 2.083e-14
9.05 1.864e-14
9.15 1.669e-14
9.25 1.492e-14
9.35 1.337e-14
9.45 1.193e-14
9.55 1.068e-14
9.65 9.547e-15
9.75 8.53e-15
9.85 7.624e-15
9.95 6.821e-15
